old_mall_name,new_name
贵和购物中心,贵和购物中心
西安华阳城购物中心,西安华阳城购物中心
天美新天地,天美新天地
南昌万象城,南昌万象城
国贸金阳tpmall,国贸金阳tpmall
美林M·LIVE天地-东座,美林M·LIVE天地-东座
爱琴海购物广场,爱琴海购物广场
硕果时代购物中心,硕果时代购物中心
壹方天地C区,壹方天地C区
西咸万象城,西咸万象城
北国商城,北国商城
济南恒隆广场,济南恒隆广场
O'PLAZA欢乐海岸购物中心,O'PLAZA欢乐海岸购物中心
喀什万达广场,喀什万达广场
郑州二七万象城,郑州二七万象城
福州远洋德呈乐堤港,福州远洋德呈乐堤港
曼巴特购物广场,曼巴特购物广场
济宁万象汇,济宁万象汇
成都万象城,成都万象城
昆百大·泰业城,昆百大·泰业城
贵阳亨特国际店,贵阳亨特国际店
西安益田假日世界购物中心,西安益田假日世界购物中心
深圳湾万象城,深圳湾万象城
汕头万象城,汕头万象城
番禺奥园广场,番禺奥园广场
成都IFS,成都IFS
凯德广场·学府,凯德广场·学府
龙湖海南海口天街,龙湖海南海口天街
东莞松山湖万象汇,东莞松山湖万象汇
武商梦时代,武商梦时代
呼和浩特万象城,呼和浩特万象城
万象城2期,万象城2期
敏捷广场,敏捷广场
万顺达百货,万顺达百货
佛山三水万达,佛山三水万达广场
西安SKP,西安SKP
海口万象城,海口万象城
西宁王府井大象城购物中心,西宁王府井大象城购物中心
合肥万象城,合肥万象城
太百购物中心,太百购物中心
杭州湖滨银泰in77,杭州湖滨银泰in77
郑州二七万达广场,郑州二七万达广场
维多利摩尔城A座,维多利摩尔城A座
济南万象城,济南万象城
厦门大悦城,厦门大悦城
华润·铁西万象汇,华润·铁西万象汇
来福士,来福士
KKONE购物中心北区,KKONE购物中心北区
天府和悦广场,天府和悦广场
CityOn熙地港(西安)购物中心,CityOn熙地港(西安)购物中心
义乌之心,义乌之心
世界城广场,世界城广场
友谊·南海城,友谊·南海城
榆林榆阳万达广场,榆林榆阳万达广场
吉林欧亚商都综合体,吉林欧亚商都综合体
皇城恒隆广场,皇城恒隆广场
太原万象城,太原万象城
太古汇,太古汇
徐州彭城苏宁广场,徐州彭城苏宁广场
鞍山万象汇,鞍山万象汇
福州万象城,福州万象城
欧亚商都,欧亚商都
星河城购物中心,星河城购物中心
佛山王府井紫薇港·WALKIN,佛山王府井紫薇港·WALKIN
兰州中心,兰州中心
拉萨城关万达广场,拉萨城关万达广场
武汉荟聚,武汉荟聚
西安大悦城,西安大悦城
UDV 河南商丘正弘汇,UDV 河南商丘正弘汇
天环Parc Central,天环Parc Central
成都大悦城,成都大悦城
宜兴八佰伴,宜兴八佰伴购物中心
赤峰红山万达广场,赤峰红山万达广场
金凤万达广场,金凤万达广场
利群商厦,利群商厦
成都银泰城,成都银泰城
正佳广场,正佳广场
建发悠阅城,建发悠阅城
泉舜购物,泉舜购物
新世纪中心,新世纪中心
PO PARK东方宝泰,PO PARK东方宝泰
K11购物艺术中心,K11购物艺术中心
武汉万象城,武汉万象城
万象汇,万象汇
青岛海信广场,青岛海信广场
兰州万象城,兰州万象城
江南环球港,江南环球港
沈阳万象城,沈阳万象城
马鞍山金鹰购物中心,马鞍山金鹰购物中心
开元商城钟楼店,开元商城钟楼店
成都太古里,成都太古里
长春万象城,长春万象城
西安大融城,西安大融城
万科广场,万科广场
港惠新天地东区,港惠新天地东区
顺城购物中心,顺城购物中心
万泰汇购物中心,万泰汇购物中心
龙湖宁波鄞州天街,龙湖宁波鄞州天街
中骏世界城,中骏世界城
苏州吴江万象汇,苏州吴江万象汇
九江·联盛快乐城,九江·联盛快乐城
桂林万象城,桂林万象城
景枫中心,景枫中心
西安荟聚,西安荟聚
宜宾万象汇,宜宾万象汇
杭州嘉里中心,杭州嘉里中心
Lion Mall金狮广场,Lion Mall金狮广场
唐山万达广场,唐山万达广场
宝龙一城,宝龙一城
长申国际,长申国际
淮安万象城,淮安万象城
美美MM购物中心,美美MM购物中心
成都SKP,成都SKP
宁波万象城,宁波万象城
杭州萧山万象汇,杭州萧山万象汇
观沙岭招商花园城,观沙岭招商花园城
常州新北万达广场,常州新北万达广场
八佰伴,八佰伴
大连华南万象汇,大连华南万象汇
鼎盛广场购物中心,鼎盛广场购物中心
爱琴海购物中心,爱琴海购物中心
温州印象城MEGA,温州印象城MEGA
同德·昆明广场,同德·昆明广场
太原吾悦广场,太原吾悦广场
龙湖·苏州狮山天街,龙湖·苏州狮山天街
深圳万象食家,深圳万象食家
丹尼斯·大卫城,丹尼斯·大卫城
印力汇德隆杭州奥体印象城,印力汇德隆杭州奥体印象城
海岸城购物中心,海岸城购物中心
