省份,城市,城市分级,区/县,商业项目
四川,成都,新一线,高新区,环球中心
四川,成都,新一线,锦江区,成都锦华万达
四川,成都,新一线,锦江区,成都群光百货
四川,成都,新一线,锦江区,成都春熙王府井
四川,成都,新一线,天府新区,和悦广场
四川,成都,新一线,龙泉驿区,世茂广场
四川,成都,新一线,金牛区,龙湖西宸天街
四川,成都,新一线,金牛区,成都金牛万达
四川,成都,新一线,郫都区,郫县蜀都万达广场
四川,成都,新一线,金牛区,龙湖上城天街
四川,成都,新一线,天府新区,天府大悦城
四川,成都,新一线,武侯区,成都双楠伊藤
四川,成都,新一线,金牛区,成都龙湖北城天街
广东,深圳,一线,光明区,深圳光明大仟里
广东,深圳,一线,福田区,深圳中洲湾C future city
广东,深圳,一线,南山区,深圳来福士广场
广东,深圳,一线,宝安区,深圳宝安大悦城
广东,深圳,一线,罗湖区,深圳罗湖天河城
广东,深圳,一线,罗湖区,罗湖益田假日
广东,深圳,一线,龙华区,观澜湖新城MH MALL
广东,深圳,一线,龙华区,大源商业中心（后浪新天地）
广东,深圳,一线,坪山区,坪山益田假日世界
广东,深圳,一线,福田区,深圳茂业天地
广东,深圳,一线,福田区,深圳KK ONE
广东,深圳,一线,福田区,世纪汇购物中心
河南,郑州,新一线,金水区,IN城广场
河南,郑州,新一线,金水区,人民路丹尼斯
河南,郑州,新一线,中原区,郑州中原万达广场
河南,郑州,新一线,中原区,郑州探十里
河南,洛阳,二线,西工区,丹尼斯大卫天地
河南,洛阳,二线,西工区,万达广场(西工店)
河南,洛阳,二线,涧西区,万达广场(涧西店)
山东,青岛,新一线,市北区,悦荟
山东,青岛,新一线,市北区,台东利群商厦
山东,青岛,新一线,市北区,延吉路万达广场
山东,青岛,新一线,黄岛区,嘉年华海信广场
山东,青岛,新一线,黄岛区,黄岛永旺梦乐城
山东,济南,二线,高新区,济南高新万达
山东,济南,二线,槐荫区,济南和谐广场
山东,临沂,二线,兰山区,临沂泰盛广场
山东,潍坊,二线,奎文区,潍坊泰华城
山东,潍坊,二线,奎文区,潍坊谷德广场
山东,潍坊,二线,奎文区,中百大厦
山东,烟台,二线,芝罘区,万达广场芝罘店
山东,烟台,二线,福山区,振华购物中心
福建,福州,二线,台江区,万象九宜城
福建,福州,二线,仓山区,榕城·江上图
福建,福州,二线,仓山区,爱琴海购物中心
福建,泉州,二线,台江区,宝龙城市广场
福建,泉州,二线,丰泽区,东海泰禾广场
福建,泉州,二线,鲤城区,新天城市广场
福建,泉州,二线,晋江,晋江万达广场
福建,泉州,二线,晋江,晋江宝龙城市广场
