mall_id,mall_name,original_name,mall_lat,mall_lng,amap_poi_id,city,source,store_count,dji_reported,dji_exclusive,dji_target,dji_opened,insta_opened,province
MALL_00002,广州天汇广场,广州天汇广场,23.115992,113.331925,B0FFG23ZZ1,广州市,api,1,0,1,0,1,0,广东省
MALL_00003,上海久光中心,上海久光中心,31.276292,121.451283,,上海市,memory,1,1,0,1,1,0,上海市
MALL_00004,荔星中心,荔星中心,26.610024,106.647886,,贵阳市,memory,1,0,0,0,1,0,贵州省
MALL_00005,万达广场(上海宝山店),万达广场(上海宝山店),31.323817,121.447276,,上海市,memory,1,0,0,0,1,0,上海市
MALL_00006,沈阳长白万象汇,沈阳长白万象汇,41.747156,123.399955,,沈阳市,memory,1,0,1,0,1,0,辽宁省
MALL_00007,深圳前海壹方城,深圳前海壹方城,22.55215,113.887665,,深圳市,memory,2,1,0,0,1,1,广东省
MALL_00008,丹尼斯大卫天地,丹尼斯大卫天地,34.668809,112.436057,,洛阳市,memory,2,0,0,1,1,1,河南省
MALL_00009,新田360广场(郑州绿地店),新田360广场(郑州绿地店),34.770009,113.767615,,郑州市,memory,1,0,0,0,1,0,河南省
MALL_00010,凯里国贸购物中心,凯里国贸购物中心,26.580642,107.973202,B0FFHY0DHJ,黔东南苗族侗族自治州,api,1,0,0,0,1,0,贵州省
MALL_00011,珠海环宇城,珠海环宇城,22.237982,113.535959,,珠海市,store_coordinate,1,0,1,0,1,0,广东省
MALL_00012,曲靖麒麟万达广场,曲靖麒麟万达广场,25.519727,103.756699,,曲靖市,memory,1,0,0,0,1,0,云南省
MALL_00013,金融街购物中心,金融街购物中心,39.915619,116.361563,,北京市,memory,1,0,1,0,1,0,北京市
MALL_00014,中关村大融城(西区),中关村大融城(西区),39.981533,116.312173,,北京市,memory,1,0,0,0,1,0,北京市
MALL_00015,摩天活力城MALL,摩天活力城MALL,43.835152,125.379262,,长春市,memory,1,0,1,0,1,0,吉林省
MALL_00016,国贸购物中心,国贸购物中心,27.71727,106.930699,,遵义市,memory,1,0,0,0,1,0,贵州省
MALL_00017,万达广场(天津滨海店),万达广场(天津滨海店),39.015602,117.680368,,天津市,memory,1,0,0,1,1,0,天津市
MALL_00018,昆山万象汇,昆山万象汇,31.381214,120.927507,,苏州市,memory,2,0,0,0,1,1,江苏省
MALL_00019,龙湖·滨江天街,龙湖·滨江天街,30.66552,104.125231,,成都市,memory,1,0,0,0,1,0,四川省
MALL_00020,万达广场(大同平城店),万达广场(大同平城店),40.064841,113.341849,,大同市,memory,1,0,0,0,1,0,山西省
MALL_00021,悦汇城,悦汇城,23.149842,113.243024,,广州市,memory,1,0,0,0,1,0,广东省
