mall_code,name,new_address,source
MALL_70CD3D06,东方商厦,上海市青浦区盈浦街道东方商厦(青浦店),amap_regeo
MALL_557F95FC,鑫港购物中心,云南省保山市施甸县太平镇鑫港购物中心,amap_regeo
MALL_F99778DB,宝峰商场,云南省保山市腾冲市西源街道宝峰商场西山坝公租房,amap_regeo
MALL_7351C84F,蒲缥玛兰林集贸广场,云南省保山市隆阳区蒲缥镇牛易客牛肉蒲缥玛兰林集贸广场,amap_regeo
MALL_6C1688D0,世贸广场,云南省德宏傣族景颇族自治州芒市风平镇法帕乡派出所执勤点芒市法帕中学,amap_regeo
MALL_F9974D1B,砂之船(昆明)奥莱,云南省昆明市安宁市太平新城街道砂之船(昆明)奥莱,amap_regeo
MALL_C75E747A,茂盛购物中心,云南省昭通市镇雄县黑树镇云南省农村信用社(黑树分社),amap_regeo
MALL_DDB0D461,惠美家购物中心,云南省普洱市镇沅彝族哈尼族拉祜族自治县和平镇惠美家购物中心,amap_regeo
MALL_B9339BB5,新世纪购物中心,云南省普洱市镇沅彝族哈尼族拉祜族自治县和平镇和平集贸市场,amap_regeo
MALL_648B9AC1,海岱供销购物广场,云南省曲靖市宣威市海岱镇海岱供销购物广场,amap_regeo
MALL_284D6E35,金尚广场,云南省曲靖市宣威市西宁街道振兴路中银大厦(建设街),amap_regeo
MALL_7DC8048F,温宁巨弘商业广场,内蒙古自治区乌兰察布市商都县七台镇温宁巨弘商业广场,amap_regeo
MALL_551DE79B,乌兰察布万达广场,内蒙古自治区乌兰察布市集宁区泉山街道察哈尔大街10号乌兰察布万达广场,amap_regeo
MALL_38D457C7,东站商厦,内蒙古自治区包头市东河区南门外街道东站商厦,amap_regeo
MALL_797602E6,劝业商城,内蒙古自治区包头市东河区和平路街道劝业商城,amap_regeo
MALL_AAF8B39C,时代财富地下商业城,内蒙古自治区包头市青山区先锋道街道时代财富地下商业城(包头包头青山娜琳步行街店)老鼠街(包头包头青山娜琳步行街店),amap_regeo
MALL_B723E4F1,海成源商贸城,内蒙古自治区呼和浩特市托克托县新营子镇海成源商贸城,amap_regeo
MALL_FD5EACA9,九州商厦(昭乌达路),内蒙古自治区呼和浩特市新城区东街街道贝赛健身俱乐部九州商厦(昭乌达路),amap_regeo
MALL_709CCEDF,鼎隆时代大卖场,内蒙古自治区巴彦淖尔市乌拉特前旗新安镇固新线,amap_regeo
MALL_9981CD7A,松山万达广场,内蒙古自治区赤峰市松山区穆家营子镇赤峰松山万达广场,amap_regeo
MALL_BDBFCFE9,金霄购物广场,内蒙古自治区赤峰市翁牛特旗桥头镇金霄购物广场,amap_regeo
MALL_7E9DF7E2,开鲁县开源商业城,内蒙古自治区通辽市开鲁县开鲁镇开鲁县开源商业城,amap_regeo
MALL_C1024046,新世纪超市,内蒙古自治区通辽市科尔沁左翼中旗代力吉镇固日本花嘎查,amap_regeo
MALL_1B0AFE2B,会平商场,内蒙古自治区通辽市科尔沁左翼后旗金宝屯镇聪明屋幼儿园,amap_regeo
MALL_4FFF012A,德克隆购物中心,内蒙古自治区锡林郭勒盟锡林浩特市楚古兰街道德克隆购物中心,amap_regeo
MALL_A9B9E1CC,北京华联购物中心,北京市平谷区平谷镇北京华联生活超市(北京平谷店),amap_regeo
MALL_68866EC6,延庆人民商场,北京市延庆区儒林街道延庆人民商场,amap_regeo
MALL_73F9F462,东市商场B座,吉林省吉林市昌邑区站前街道东市商场B座,amap_regeo
MALL_3C373DFA,欧亚购物中心,吉林省四平市双辽市辽北街道欧亚购物中心,amap_regeo
MALL_1B250EF6,万达广场,吉林省延边朝鲜族自治州延吉市公园街道万达广场(延吉店),amap_regeo
MALL_30D80FB5,东镇城市广场,吉林省松原市宁江区临江街道东镇城市广场,amap_regeo
MALL_3C4FC9F1,有源商场,吉林省松原市长岭县大兴镇015乡道,amap_regeo
MALL_878F1EF8,世纪商业城,吉林省白城市通榆县迎新街道世纪商业城,amap_regeo
MALL_56525117,众旺商场,吉林省白山市抚松县泉阳镇众旺商场泉阳途安客运站,amap_regeo
MALL_E9808451,淑琴商场,吉林省通化市集安市头道镇集锡线,amap_regeo
MALL_A792C45D,华生购物中心,吉林省长春市公主岭市苇子沟街道华生购物中心,amap_regeo
MALL_C2BDA0D8,农安隆达·金马城市广场,吉林省长春市农安县和谐街道农安隆达·金马城市广场,amap_regeo
MALL_57B5C360,天力·一品地下购物广场,吉林省长春市双阳区云山街道柏山路天力一品,amap_regeo
MALL_5E986FC7,东北亚商城,吉林省长春市榆树市于家镇东北亚商城,amap_regeo
MALL_AB88A1F2,世达·黄联关商业中心,四川省凉山彝族自治州西昌市黄联关镇西溪河中桥,amap_regeo
MALL_0102D083,中意生活广场,四川省凉山彝族自治州西昌市新村街道中意生活广场西昌中意广场古锦悦酒店,amap_regeo
MALL_DF041DA1,经久生活广场商业中心(建设中),四川省凉山彝族自治州西昌市经久乡经久生活广场商业中心(建设中),amap_regeo
MALL_D38A829B,新世纪超市,四川省南充市仪陇县日兴镇新世纪超市(商贸街店),amap_regeo
MALL_F6697392,充国里B广场,四川省南充市西充县晋城街道有机西充生活馆南充新鸥鹏教育城三期,amap_regeo
MALL_D6179C89,熊猫大世界,四川省南充市阆中市七里街道熊猫大世界熊猫商业广场,amap_regeo
MALL_65169ABE,一站式购物中心,四川省宜宾市兴文县九丝城镇一站式购物中心建武中学,amap_regeo
MALL_94A940EA,王府井购物中心(建设中),四川省宜宾市翠屏区白沙湾街道王府井购物中心(建设中),amap_regeo
MALL_877C7D55,壹陆捌购物中心,四川省巴中市巴州区清江镇壹陆捌购物中心,amap_regeo
MALL_CEFD3E17,开平购物中心,四川省巴中市平昌县江家口镇和平村,amap_regeo
MALL_4973A740,金悦汇.购物中心,四川省广元市利州区嘉陵街道金悦汇.购物中心,amap_regeo
