uuid,brand,name,lat,lng,address,province,city,phone,business_hours,opened_at,status,raw_source
7030c745-432e-4bef-a91c-c9d892e5eff4,DJI,常州购物中心授权体验店,31.780229,119.973218,江苏省常州市天宁区延陵西路1-7号购物中心1楼大疆,江苏省,常州市,15366822797,10:00,2025-12-03,营业中,"{""token"": ""60000539"", ""name"": ""常州购物中心授权体验店"", ""state"": ""江苏省"", ""city"": ""常州市"", ""district"": ""天宁区"", ""address"": ""江苏省常州市天宁区延陵西路1-7号购物中心1楼大疆"", ""google_lon"": 119.968483, ""google_lat"": 31.78228, ""baidu_lon"": 119.96966, ""baidu_lat"": 31.78057, ""business_hour"": ""10:00"", ""contact_number"": ""15366822797"", ""email"": """", ""wechat"": ""https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E5%9B%BE%E7%89%87_1339_06-20250818161240.png"", ""website"": """", ""has_test_flight"": true, ""has_trade_in"": true, ""has_repair"": false, ""categories"": [""Offline_store""], ""store_type"": ""6"", ""channel_type"": ""ARS"", ""business_level"": null, ""distance"": null, ""sellable_products"": []}"
7c0b4c17-a363-4042-9185-2246f771c6e3,DJI,拉萨柳梧万达授权体验店,29.560987,91.032403,西藏自治区拉萨市柳梧新区柳梧万达广场一楼1022商铺（近二号门）,西藏自治区,拉萨市,13298910080,"周日-周四11:00-22:00,周五-周六11:00-22:30",2025-12-03,营业中,"{""token"": ""A0400329"", ""name"": ""拉萨柳梧万达授权体验店"", ""state"": ""西藏自治区"", ""city"": ""拉萨市"", ""district"": ""曲水县"", ""address"": ""西藏自治区拉萨市柳梧新区柳梧万达广场一楼1022商铺（近二号门）"", ""google_lon"": 91.03095, ""google_lat"": 29.563808, ""baidu_lon"": 91.108368, ""baidu_lat"": 29.643875, ""business_hour"": ""周日-周四11:00-22:00,周五-周六11:00-22:30"", ""contact_number"": ""13298910080"", ""email"": null, ""wechat"": ""https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E6%9E%97%E6%80%9D-%EF%BC%88%E6%8B%89%E8%90%A8%E6%9F%B3%E6%A2%A7%E4%B8%87%E8%BE%BE%E5%B9%BF%E5%9C%BA%E5%BA%97%EF%BC%89-20230115121429.png"", ""website"": null, ""has_test_flight"": true, ""has_trade_in"": true, ""has_repair"": false, ""categories"": [""Offline_store""], ""store_type"": ""6"", ""channel_type"": ""ARS"", ""business_level"": null, ""distance"": null, ""sellable_products"": []}"
0635f34e-7822-46dd-ad7f-9ea130d4b27d,DJI,晋中杉杉奥特莱斯授权体验店,37.724565,112.733546,山西省晋中市榆次区龙湖街1055号天美杉杉奥特莱斯购物广场1号门B104,山西省,晋中市,18634298449,10:00-22:00,2025-12-03,营业中,"{""token"": ""60015884"", ""name"": ""晋中杉杉奥特莱斯授权体验店"", ""state"": ""山西省"", ""city"": ""晋中市"", ""district"": ""榆次区"", ""address"": ""山西省晋中市榆次区龙湖街1055号天美杉杉奥特莱斯购物广场1号门B104"", ""google_lon"": 112.72707, ""google_lat"": 37.723896, ""baidu_lon"": 112.72707, ""baidu_lat"": 37.723896, ""business_hour"": ""10:00-22:00"", ""contact_number"": ""18634298449"", ""email"": """", ""wechat"": ""https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E6%99%8B%E4%B8%AD-20240824162844.jpeg"", ""website"": """", ""has_test_flight"": true, ""has_trade_in"": true, ""has_repair"": false, ""categories"": [""Offline_store""], ""store_type"": ""6"", ""channel_type"": ""ARS"", ""business_level"": null, ""distance"": null, ""sellable_products"": []}"
01cb051b-65b1-4ca3-908c-bd5f46dda525,DJI,荆州弄潮红门路照材店,30.305809,112.267871,湖北省荆州市沙市区红门路红景嘉园B区一楼,湖北省,荆州市,18972126007,8:30~18:00,2025-12-03,营业中,"{""token"": ""A0500026"", ""name"": ""荆州弄潮红门路照材店"", ""state"": ""湖北省"", ""city"": ""荆州市"", ""district"": ""沙市区"", ""address"": ""湖北省荆州市沙市区红门路红景嘉园B区一楼"", ""google_lon"": 112.262165, ""google_lat"": 30.308368, ""baidu_lon"": 112.268731, ""baidu_lat"": 30.314093, ""business_hour"": ""8:30~18:00"", ""contact_number"": ""18972126007"", ""email"": """", ""wechat"": ""https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E8%8D%86%E5%B7%9E-20230714191605.png"", ""website"": """", ""has_test_flight"": true, ""has_trade_in"": true, ""has_repair"": false, ""categories"": [""Offline_store""], ""store_type"": ""7"", ""channel_type"": ""New type of lighting material"", ""business_level"": null, ""distance"": null, ""sellable_products"": []}"
db402135-ea38-4bd1-ad32-eb9098b8318b,DJI,杭州城西银泰城授权体验店,30.298372,120.11045,杭州市拱墅区祥符街道丰潭路380号城西银泰城3号门大疆授权体验店,浙江省,杭州市,18158188575,10:00~22:00,2025-12-03,营业中,"{""token"": ""A0400222"", ""name"": ""杭州城西银泰城授权体验店"", ""state"": ""浙江省"", ""city"": ""杭州市"", ""district"": ""拱墅区"", ""address"": ""杭州市拱墅区祥符街道丰潭路380号城西银泰城3号门大疆授权体验店"", ""google_lon"": 120.105645, ""google_lat"": 30.30064, ""baidu_lon"": 120.107964, ""baidu_lat"": 30.300232, ""business_hour"": ""10:00~22:00"", ""contact_number"": ""18158188575"", ""email"": null, ""wechat"": ""https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E6%9D%AD%E5%B7%9E%E5%9F%8E%E8%A5%BF%E9%93%B6%E6%B3%B0%E5%9F%8E%E6%8E%88%E6%9D%83%E4%BD%93%E9%AA%8C%E5%BA%97-20240318224804.jpeg"", ""website"": null, ""has_test_flight"": true, ""has_trade_in"": true, ""has_repair"": false, ""categories"": [""Offline_store""], ""store_type"": ""6"", ""channel_type"": ""New type of lighting material"", ""business_level"": null, ""distance"": null, ""sellable_products"": []}"
834872e3-cff1-4b03-bddd-2c91cda9d0f9,DJI,沈阳三台子万象汇授权体验店,41.878986,123.430414,辽宁省沈阳市皇姑区黄河北大街33号三台子万象汇L167大疆,辽宁省,沈阳市,13390140876/13610714085,10:00-22:00,2025-12-03,营业中,"{""token"": ""60000992"", ""name"": ""沈阳三台子万象汇授权体验店"", ""state"": ""辽宁省"", ""city"": ""沈阳市"", ""district"": ""皇姑区"", ""address"": ""辽宁省沈阳市皇姑区黄河北大街33号三台子万象汇L167大疆"", ""google_lon"": 123.42426, ""google_lat"": 41.87655, ""baidu_lon"": 123.42426, ""baidu_lat"": 41.87655, ""business_hour"": ""10:00-22:00"", ""contact_number"": ""13390140876/13610714085"", ""email"": null, ""wechat"": ""https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E4%B8%89%E5%8F%B0%E5%AD%90-20240829172337.jpeg"", ""website"": null, ""has_test_flight"": true, ""has_trade_in"": true, ""has_repair"": false, ""categories"": [""Offline_store""], ""store_type"": ""6"", ""channel_type"": ""ARS"", ""business_level"": null, ""distance"": null, ""sellable_products"": []}"
2e92cb30-070d-46a5-bba6-f3863a6862c3,DJI,深圳中航城授权体验店,22.540084,114.088019,深圳市福田区华强北中航路1号中航城君尚购物中心B区L125号,广东省,深圳市,13346438831,"周天至周四10:00-22:00, 周五至周六10:00-22:30",2025-12-03,营业中,"{""token"": ""60037136"", ""name"": ""深圳中航城授权体验店"", ""state"": ""广东省"", ""city"": ""深圳市"", ""district"": ""福田区"", ""address"": ""深圳市福田区华强北中航路1号中航城君尚购物中心B区L125号"", ""google_lon"": 114.08289, ""google_lat"": 22.54277, ""baidu_lon"": 114.08289, ""baidu_lat"": 22.54277, ""business_hour"": ""周天至周四10:00-22:00, 周五至周六10:00-22:30"", ""contact_number"": ""13346438831"", ""email"": ""wangyiping@hengweixin.com.cn"", ""wechat"": ""https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E7%8E%8B%E4%BE%9D%E8%8B%B9-20251105153132.png"", ""website"": """", ""has_test_flight"": true, ""has_trade_in"": true, ""has_repair"": false, ""categories"": [""Offline_store""], ""store_type"": ""6"", ""channel_type"": ""ARS"", ""business_level"": null, ""distance"": null, ""sellable_products"": []}"
d2a051b6-8b9a-432f-bd29-066dd809c426,DJI,鄂尔多斯众航羽速准格尔北路专营店,39.817557,110.013642,内蒙古鄂尔多斯市东胜区准格尔北路19号附6号,内蒙古自治区,鄂尔多斯市,13604778222,周一到周日 9:00-19:00,2025-12-03,营业中,"{""token"": ""60025488"", ""name"": ""鄂尔多斯众航羽速准格尔北路专营店"", ""state"": ""内蒙古自治区"", ""city"": ""鄂尔多斯市"", ""district"": ""东胜区"", ""address"": ""内蒙古鄂尔多斯市东胜区准格尔北路19号附6号"", ""google_lon"": 110.007851, ""google_lat"": 39.816464, ""baidu_lon"": 110.007851, ""baidu_lat"": 39.816464, ""business_hour"": ""周一到周日 9:00-19:00"", ""contact_number"": ""13604778222"", ""email"": ""858582221@qq.com"", ""wechat"": ""https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/2-20241205211003.png"", ""website"": """", ""has_test_flight"": true, ""has_trade_in"": true, ""has_repair"": false, ""categories"": [""Offline_store""], ""store_type"": ""7"", ""channel_type"": ""New type of lighting material"", ""business_level"": null, ""distance"": null, ""sellable_products"": []}"
b9315712-5781-4be1-87f0-27ff0c8994bf,DJI,深圳中洲湾授权体验店,22.525884,114.033826,深圳市福田区滨河大道9283号中洲滨海商业中心项目一期B1层40号商铺,广东省,深圳市,"0755-23609230,18124528208","周日~周四:10:00~22:00   
周五~周六:10:00~22:30",2025-12-03,营业中,"{""token"": ""A400355"", ""name"": ""深圳中洲湾授权体验店"", ""state"": ""广东省"", ""city"": ""深圳市"", ""district"": ""福田区"", ""address"": ""深圳市福田区滨河大道9283号中洲滨海商业中心项目一期B1层40号商铺"", ""google_lon"": 114.028763, ""google_lat"": 22.528668, ""baidu_lon"": 114.03456, ""baidu_lat"": 22.534278, ""business_hour"": ""周日~周四:10:00~22:00   \n周五~周六:10:00~22:30"", ""contact_number"": ""0755-23609230,18124528208"", ""email"": null, ""wechat"": ""https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E5%9B%BE%E7%89%87_1263_06-20250805170813.jpeg"", ""website"": null, ""has_test_flight"": true, ""has_trade_in"": true, ""has_repair"": false, ""categories"": [""Offline_store""], ""store_type"": ""6"", ""channel_type"": ""ARS"", ""business_level"": null, ""distance"": null, ""sellable_products"": []}"
5c6f3253-00b1-4db9-abdf-b921865075aa,DJI,常州万象城授权体验店,31.753705,119.970002,江苏省常州市天宁区中吴大道1231号常州万象城一层L127大疆店,江苏省,常州市,18796969560,10：00-22：00,2025-12-03,营业中,"{""token"": ""60007087"", ""name"": ""常州万象城授权体验店"", ""state"": ""江苏省"", ""city"": ""常州市"", ""district"": ""天宁区"", ""address"": ""江苏省常州市天宁区中吴大道1231号常州万象城一层L127大疆店"", ""google_lon"": 119.965276, ""google_lat"": 31.755761, ""baidu_lon"": 119.965276, ""baidu_lat"": 31.755761, ""business_hour"": ""10：00-22：00"", ""contact_number"": ""18796969560"", ""email"": """", ""wechat"": ""https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E5%9B%BE%E7%89%87_1257_06-20250805170242.jpeg"", ""website"": """", ""has_test_flight"": true, ""has_trade_in"": true, ""has_repair"": false, ""categories"": [""Offline_store""], ""store_type"": ""6"", ""channel_type"": ""ARS"", ""business_level"": null, ""distance"": null, ""sellable_products"": []}"
