mall_code,name,existing_poi,candidate_poi,chosen_poi,existing_dist_m,candidate_dist_m,reason
MALL_E71B6B76,购物中心,B0J10CDZRX,B0J10CDZRX,B0J10CDZRX,0.0,0.0,switched_better_distance
MALL_2E1A0FA1,吾悦广场(暂停营业),B0FFK8UJO1,B0FFK8UJO1,B0FFK8UJO1,0.0,0.0,switched_better_distance
MALL_8FBDA589,商业广场,B0JGT9Y4FW,B0JGT9Y4FW,B0JGT9Y4FW,0.0,0.0,switched_better_distance
MALL_2B2DCAE9,商业广场,B0FFLNLQGM,B0FFLNLQGM,B0FFLNLQGM,0.0,0.0,switched_better_distance
MALL_5BB5ADF0,购物广场,B0HRVR27WG,B0HRVR27WG,B0HRVR27WG,0.0,0.0,switched_better_distance
MALL_8299DFF6,万达广场(建设中),B0GUV5W7RR,B0GUV5W7RR,B0GUV5W7RR,0.0,0.0,switched_better_distance
MALL_67CC3CE7,商业中心,B0FFKLHLBQ,B0FFKLHLBQ,B0FFKLHLBQ,0.0,0.0,switched_better_distance
MALL_3768DCCA,青城荟DAVE MALL购物中心(装修中),B0HDJ7W896,B0HDJ7W896,B0HDJ7W896,0.0,0.0,switched_better_distance
MALL_40D4EB71,益利购物广场,B01DB00XHY,B01DB00TGD,B01DB00TGD,0.0,1030.2092369480247,switched_better_distance
MALL_286CCC10,购物中心,B0I13ZO52M,B0I13ZO52M,B0I13ZO52M,0.0,0.0,switched_better_distance
MALL_6C743A4D,商业城,B0FFK6OXJ7,B0FFK6OXJ7,B0FFK6OXJ7,0.0,0.0,switched_better_distance
MALL_0B44D50A,购物中心,B0FFFYU6KW,B0FFFYU6KW,B0FFFYU6KW,0.0,0.0,switched_better_distance
MALL_80FF8943,购物中心,B01B300J6Z,B01B300J6Z,B01B300J6Z,0.0,0.0,switched_better_distance
MALL_82D49C5D,购物中心,B01B300JIK,B01B300JIK,B01B300JIK,0.0,0.0,switched_better_distance
MALL_6FCE404E,星耀·活力城MALL(建设中),B0H045CIFC,B0H045CIFC,B0H045CIFC,0.0,0.0,switched_better_distance
MALL_9B0BAED0,达达超市(装修中),B034202X8J,B034200452,B034200452,0.0,304.7475797037189,switched_better_distance
MALL_18D99005,印象·南部奥特莱斯广场(建设中),B0H0HMETZ2,B0H0HMETZ2,B0H0HMETZ2,0.0,0.0,switched_better_distance
MALL_C08F8AF3,购物广场,B0HKX6PB7G,B0HKX6PB7G,B0HKX6PB7G,0.0,0.0,switched_better_distance
MALL_A86039A1,商业中心,B0FFL76SOW,B0FFL76SOW,B0FFL76SOW,0.0,0.0,switched_better_distance
MALL_E20C3235,大型购物中心(装修中),B0FFKYBSY7,B0FFKYBSY7,B0FFKYBSY7,0.0,0.0,switched_better_distance
MALL_33420260,奥特莱斯,B0L216T6TB,B0L216T6TB,B0L216T6TB,0.0,0.0,switched_better_distance
MALL_2A0FED27,购物中心,B0HKNSPKOW,B0HKNSPKOW,B0HKNSPKOW,0.0,0.0,switched_better_distance
MALL_326ED40E,购物中心,B0JR3O9L6Z,B0JR3O9L6Z,B0JR3O9L6Z,0.0,0.0,switched_better_distance
MALL_B08C63B7,万达广场送车点-益安,B0LGSH6HAN,B0LGSH6HAN,B0LGSH6HAN,0.0,0.0,switched_better_distance
MALL_A2C80E4F,恒业国际日用品商城,B0J6YHY8WO,B001C8WC69,B001C8WC69,0.0,0.0,switched_better_distance
MALL_00187C52,茂业天地,B001C7XDNT,B001C933QY,B001C933QY,0.0,802.4044378090625,switched_better_distance
MALL_F6B16B25,吾悦广场(建设中),B0H2CRSNQI,B0H2CRSNQI,B0H2CRSNQI,0.0,0.0,switched_better_distance
MALL_C06E465E,万达广场(建设中),B0HG0R1XME,B0HG0R1XME,B0HG0R1XME,0.0,0.0,switched_better_distance
MALL_77B4D9FB,购物中心,B0KK7BO9EQ,B0KK7BO9EQ,B0KK7BO9EQ,0.0,0.0,switched_better_distance
MALL_6D19D419,购物中心,B0JRVUHZP5,B0JRVUHZP5,B0JRVUHZP5,0.0,0.0,switched_better_distance
MALL_2C763503,万达广场(建设中),B0JUNCD3DL,B0JUNCD3DL,B0JUNCD3DL,0.0,0.0,switched_better_distance
MALL_1B206B10,万达广场-北区,B0LU1DCANH,B0LU1DCANH,B0LU1DCANH,0.0,0.0,switched_better_distance
MALL_D58D4ABE,购物中心,B0H0R5BH3K,B0H0R5BH3K,B0H0R5BH3K,0.0,0.0,switched_better_distance
MALL_8B1BF302,商业中心,B0FFKXTUD8,B0FFKXTUD8,B0FFKXTUD8,0.0,0.0,switched_better_distance
MALL_467BBFAA,购物广场,B0JRNS86F7,B0JRNS86F7,B0JRNS86F7,0.0,0.0,switched_better_distance
MALL_1275D189,购物中心,B0H3FDA61F,B0H3FDA61F,B0H3FDA61F,0.0,0.0,switched_better_distance
