token,name,province_or_state,city,district,address,business_hour,phone,email,website,wechat,has_test_flight,has_trade_in,has_repair,channel_type,store_type,google_lat,google_lng,baidu_lat,baidu_lng
60015882,北京大兴机场授权体验专区,北京市,北京市,大兴区,北京大兴国际机场航站楼二层中央商业区西侧S-KS02-001,10:00-22:00,18513086389,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E5%A4%A7%E5%85%B4-20240823102938.jpg,True,True,False,ARS,7,39.3,116.24,39.3,116.24
60010731,沈阳中兴授权体验店,辽宁省,沈阳市,和平区,辽宁省沈阳市和平区太原北街86号中兴商业方城五楼,9:30-21:30,13470095951,1263902727@qq.com,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E6%B2%88%E9%98%B3%E4%B8%AD%E5%85%B4-20240528211306.png,True,True,False,ARS,6,41.799012,123.407478,41.799012,123.407478
60015670,福州东二环泰禾授权体验店,福建省,福州市,晋安区,"""福建省福州市晋安区竹屿路6号东二环泰禾城市广场三期22#楼项目西区购物中心 一层楼编号为W-L101-2,W-L102-1""",10:00-22:00,0591-87810306；18982816805,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E7%A6%8F%E5%B7%9E%E4%B8%9C%E4%BA%8C%E7%8E%AF%E6%B3%B0%E7%A6%BE-20251119163447.png,True,True,False,ARS,6,26.0956,119.3436,26.0956,119.3436
A0500034,梅州晟邦沿江半岛照材店,广东省,梅州市,梅县区,梅州市梅县区新城办沿江北路沿江半岛别墅式商住楼B2栋一楼店铺,"早上8:30-12:00,下午14:30-21:30",15807535977,10904177@qq.com,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/1-20241216112407.png,True,True,False,New type of lighting material,7,24.300145,116.109275,24.300145,116.109275
A400322,DJI 大疆|哈苏 长春卓展概念店,吉林省,长春市,朝阳区,吉林省长春市朝阳区重庆路1255号 长春卓展购物中心（2B-215）,10:00~22:00,15543454551,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/2-20250827121113.png,True,True,False,ARS,5,43.890612,125.3197,43.890612,125.3197
60012712,深圳海岸城授权体验店,广东省,深圳市,南山区,深圳市南山区粤海街道文心五路33号海岸城广场二层242号商铺,10:00-22:00,"0755-86966794,15338802089",,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E5%8D%97%E5%B1%B1%E6%B5%B7%E5%B2%B8%E5%9F%8E-20240604152632.jpeg,True,True,False,ARS,6,22.522959,113.942625,22.522959,113.942625
60020882,哈尔滨红博中央公园授权体验店,黑龙江省,哈尔滨市,南岗区,哈尔滨市南岗区红旗大街339号红博中央公园 公园大道B1大道区B26-1,10:00-22:00,13613622344,13613622344@163.com,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E5%9B%BE%E7%89%87_1374_06-20250822111856.png,True,True,False,ARS,6,45.763381,126.704236,45.763381,126.704236
60016537,海口龙湖天街授权体验店,海南省,海口市,龙华区,海口市龙华区南海大道15号海口天街B-1F-11室,10:00-22:00,19189896201,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E6%B5%B7%E5%8F%A3%E9%BE%99%E6%B9%96-20240925215702.png,True,True,False,ARS,6,19.997067,110.328923,19.997067,110.328923
60005344,乌鲁木齐吾悦广场授权体验店,新疆维吾尔自治区,乌鲁木齐市,沙依巴克区,乌鲁木齐市水磨沟区红光山路1666号 会展吾悦广场一楼1013号,11:00-22:00,18690230517,572290732@qq.com,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E6%96%B0%E7%96%86-20240924210002.png,True,True,False,ARS,6,43.880017,87.629325,43.880017,87.629325
A400337,天津南开大悦城授权体验店,天津市,天津市,南开区,天津市南开区南门外大街2-6号天津大悦城南区2F层2F-B3A商铺,10:00~22:00,15022335062，022-58089377,,,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E5%8D%97%E5%BC%80%E5%A4%A7%E6%82%A6%E5%9F%8E-20230703093937.png,True,True,False,ARS,6,39.135522,117.180051,39.135522,117.180051
