brand,poi_id,name,address,province,city,district,lat,lng,typecode,source_keyword,source_method,score,status,matched_uuid,matched_name,llm_used,llm_is_brand_store,llm_confidence,llm_reason
Kenzo,B0LR9BOR3E,KENZO(北京apm店),王府井大街138号北京apm1F层,北京市,北京市,东城区,39.913746,116.411884,061101,Kenzo,around,11.0,new_candidate,,,False,,,
Kenzo,B0KG7LBSV7,KENZO(老佛爷百货店),西单北大街110号老佛爷百货F1层,北京市,北京市,西城区,39.914013,116.375281,061100,Kenzo,around,11.0,new_candidate,,,False,,,
Kenzo,B0K3ZZ6TJ4,KENZO KIDS(国贸商城店),建国门外大街1号(二期)地下一层NB142号铺位,北京市,北京市,朝阳区,39.910755,116.458554,061100,Kenzo,around,11.0,new_candidate,,,False,,,
Kenzo,B0FFH0KWKC,KENZO(北京SKP店),建国路87号SKP商场三层,北京市,北京市,朝阳区,39.910065,116.479021,061101,Kenzo,around,11.0,new_candidate,,,False,,,
Kenzo,B0LBSCJSJ3,KENZO,香江北路28号王府井奥莱·香江小镇,北京市,北京市,朝阳区,40.036568,116.505174,061101,Kenzo,around,10.0,new_candidate,,,False,,,
Kenzo,B0FFHCZVFS,KENZO(环贸 iAPM店),淮海中路999号(陕西南路地铁站8号口旁),上海市,上海市,徐汇区,31.215445,121.458872,061101,Kenzo,around,11.0,new_candidate,,,False,,,
Kenzo,B0FFI55UVC,KENZO(久光百货店),南京西路1618号久光百货F1层(静安寺地铁站出入口旁),上海市,上海市,静安区,31.22394,121.44587,061101,Kenzo,around,11.0,new_candidate,,,False,,,
Kenzo,B0FFGYN4LB,KENZO(上海国金中心商场),世纪大道8号上海ifc商场LG1层LG1-25,上海市,上海市,浦东新区,31.236496,121.502358,061101,Kenzo,around,10.0,new_candidate,,,False,,,
Kenzo,B00156EYGN,KENZO(上海港汇恒隆广场店),港汇恒隆广场,上海市,上海市,徐汇区,31.194581,121.437276,061101,Kenzo,around,11.0,new_candidate,,,False,,,
Kenzo,B0LGNXW99H,KENZO(比斯特上海购物村店),申迪东路88号比斯特上海购物村F1层,上海市,上海市,浦东新区,31.14037,121.679287,061101,Kenzo,around,11.0,new_candidate,,,False,,,
Kenzo,B0FFH15R0M,KENZO,沪青平公路2888号A123甲,上海市,上海市,青浦区,31.154988,121.228,061101,Kenzo,around,10.0,new_candidate,,,False,,,
Kenzo,B0FFI9169X,KENZO(深圳万象天地店),粤街道深南大道9668号华润万象天地SL405铺,广东省,深圳市,南山区,22.5415,113.956393,061101,Kenzo,around,11.0,new_candidate,,,False,,,
Kenzo,B0I1SDJWMC,KENZO(广州白云国际机场T1航站楼店),机场大道东888号广州白云国际机场T1航站楼3F层,广东省,广州市,花都区,23.388838,113.300853,061100,Kenzo,around,11.0,new_candidate,,,False,,,
Kenzo,B0I1SHLSTH,KENZO(广州白云国际机场T2航站楼店),机场大道东888号广州白云国际机场T2航站楼2F层T22R27,广东省,广州市,花都区,23.398293,113.303685,061100,Kenzo,around,11.0,new_candidate,,,False,,,
Kenzo,B0FFG89YYF,KENZO(成都太古里店),中纱帽街8号(成都太古里)第一层1338a号商铺,四川省,成都市,锦江区,30.653232,104.084165,061101,Kenzo,around,11.0,new_candidate,,,False,,,
Kenzo,B0FFHEQY29,KENZO(杭州大厦购物城B座店),武林广场1号杭州大厦B座3楼,浙江省,杭州市,拱墅区,30.272486,120.161531,061101,Kenzo,around,11.0,new_candidate,,,False,,,
Kenzo,B0FFF6X9Q8,KENZO(德基广场店),中山路18号德基广场二期3楼店铺,江苏省,南京市,玄武区,32.044123,118.78481,061101,Kenzo,around,11.0,new_candidate,,,False,,,
Kenzo,B0LR6AFKIC,KENZO,砂之船(南京)奥莱(秣周东路地铁站出入口步行300米),江苏省,南京市,江宁区,31.868108,118.829605,061100,Kenzo,around,10.0,new_candidate,,,False,,,
Kenzo,B0FFHN52LH,KENZO(星光68广场店),洋河一路68号重庆星光68广场F1层,重庆市,重庆市,两江新区,29.579188,106.530436,061100,Kenzo,around,11.0,new_candidate,,,False,,,
Kenzo,B0HD29FAG5,KENZO(西安SKP),长安北路261号西安SKP3F层,陕西省,西安市,碑林区,34.247796,108.949548,061101,Kenzo,around,10.0,new_candidate,,,False,,,
Kenzo,B0FFHZRF58,KENZO(中大国际高新店),高新路72号中大国际商业中心F1层,陕西省,西安市,雁塔区,34.221428,108.897365,061100,Kenzo,around,11.0,new_candidate,,,False,,,
Kenzo,B0H26UZQM2,KENZO(武汉恒隆广场店),京汉大道668号武汉恒隆广场东区L2层L218,湖北省,武汉市,硚口区,30.578061,114.274823,061101,Kenzo,around,11.0,new_candidate,,,False,,,
Kenzo,B0FFMFK2SE,KENZO(比斯特苏州购物村),苏州工业园区阳澄环路969号比斯特苏州购物村F6.3单元,江苏省,苏州市,吴中区,31.378244,120.760839,061101,Kenzo,around,10.0,new_candidate,,,False,,,
Prada,B0J3MCAX8V,PRADA(王府中环东座店),王府井大街269号王府中环东座,北京市,北京市,东城区,39.912752,116.410133,061100,Prada,around,11.0,new_candidate,,,False,,,
Prada,B0FFIKJBRY,PRADA(王府中环东座店),王府井大街269号王府中环东座L2层221a、221b,北京市,北京市,东城区,39.912746,116.41025,061103,Prada,around,11.0,new_candidate,,,False,,,
Prada,B0HR0UWMU4,PRADA(国贸商城店),建国门外大街1号国贸商城南区L1层L105、L106,北京市,北京市,朝阳区,39.909575,116.459529,061103|061104,Prada,around,11.0,new_candidate,,,False,,,
Prada,B0G25OZG9F,PRADA(SKP南馆店),建国路86号SKP南馆1层D1007,北京市,北京市,朝阳区,39.907262,116.478813,061101,Prada,around,11.0,new_candidate,,,False,,,
Prada,B0FFFTKPSL,PRADA(北京SKP店),建国路87号北京SKP一层M1017号店铺,北京市,北京市,朝阳区,39.909938,116.478787,061104,Prada,around,11.0,new_candidate,,,False,,,
Prada,B0FFF0EUUP,PRADA(北京SKP店),建国路87号SKP(原新光天地)4层,北京市,北京市,朝阳区,39.909568,116.47892,061103|061104|061400,Prada,around,11.0,new_candidate,,,False,,,
Prada,B0FFLMILLY,PRADA(王府井奥莱·香江小镇店),崔各庄镇香江北路28号赛特奥特莱斯1,北京市,北京市,朝阳区,40.036073,116.505314,061103|061101,Prada,around,11.0,new_candidate,,,False,,,
Prada,B0FFG4LJ7O,PRADA(八达岭奥莱店),南口镇陈庄村八达岭奥特莱斯一层500-504号店铺,北京市,北京市,昌平区,40.235008,116.167751,061101|061103,Prada,around,11.0,new_candidate,,,False,,,
Prada,B0FFIVFIIM,PRADA(环贸IAPM店),淮海路999号环贸广场一楼(陕西南路地铁站出入口旁),上海市,上海市,徐汇区,31.216298,121.458759,061101|061102,Prada,around,11.0,new_candidate,,,False,,,
Prada,B0FFM1P860,PRADA(国贸汇店),华山路1901号国贸汇L1-117&118店铺,上海市,上海市,徐汇区,31.197449,121.438,061103,Prada,around,11.0,new_candidate,,,False,,,
Prada,B0GDHL39XK,PRADA(百联奥特莱斯店),沪青平公路2888号青浦百联奥特莱斯A102号店铺,上海市,上海市,青浦区,31.154788,121.228824,061101,Prada,around,11.0,new_candidate,,,False,,,
Prada,B0FFIGBOXW,PRADA(佛罗伦萨小镇店),祝桥镇卓耀路58号佛罗伦萨小镇C区1号,上海市,上海市,浦东新区,31.195081,121.765085,061103,Prada,around,11.0,new_candidate,,,False,,,
Prada,B02F37WMHC,PRADA(万象城店),宝安南路1881号万象城一楼,广东省,深圳市,罗湖区,22.539139,114.111348,061103|061101,Prada,around,11.0,new_candidate,,,False,,,
Prada,B0LR3NB2C8,PRADA普拉达(科苑南路店),科苑南路与逸湖六街交叉口南20米,广东省,深圳市,南山区,22.515925,113.945275,061101,Prada,around,11.0,new_candidate,,,False,,,
Prada,B0I0GA5BHW,PRADA(宝安机场店),宝安大道深圳宝安国际机场T3航站楼国内候机厅3楼24号门旁,广东省,深圳市,宝安区,22.628623,113.811104,061100,Prada,around,11.0,new_candidate,,,False,,,
Prada,B00141JNST,PRADA(太古汇店),天河路385号太古汇商业中心首层,广东省,广州市,天河区,23.134511,113.332541,061103,Prada,around,11.0,new_candidate,,,False,,,
Prada,B0IKO7ASUH,PRADA(成都SKP店),天府大道北段2001号成都SKP F2层,四川省,成都市,武侯区,30.571103,104.069745,061104,Prada,around,11.0,new_candidate,,,False,,,
Prada,B0J09CX8LJ,PRADA REACTIVE(成都SKP店),天府大道北段2001号成都SKP F1层,四川省,成都市,武侯区,30.567177,104.07027,061100,Prada,around,11.0,new_candidate,,,False,,,
Prada,B0FFJT190D,PRADA(城守街),春熙路南段8号群光广场1层,四川省,成都市,锦江区,30.653984,104.076708,061400|061100,Prada,around,10.0,new_candidate,,,False,,,
Prada,B0FFFXUB8I,PRADA(国际金融中心店),红星路三段一号IFS国际金融中心2楼,四川省,成都市,锦江区,30.654949,104.080642,061103|061200,Prada,around,11.0,new_candidate,,,False,,,
Prada,B0GR3KI166,PRADA(佛罗伦萨小镇店),郫都县银杏路888号佛罗伦萨小镇H03&H04&H08号店铺,四川省,成都市,郫都区,30.809076,103.839602,061103|061104,Prada,around,11.0,new_candidate,,,False,,,
Prada,B0FFGFPI3W,PRADA(杭州大厦店),武林广场1号杭州大厦A幢一层A1005号店铺,浙江省,杭州市,拱墅区,30.27184,120.161625,061104,Prada,around,11.0,new_candidate,,,False,,,
Prada,B0LR9NNK57,PRADA普拉达(杭州中心店),环城北路辅路与展览东路交叉口东100米,浙江省,杭州市,拱墅区,30.273022,120.165328,061101,Prada,around,11.0,new_candidate,,,False,,,
