brand,store_id,store,address,city,mall_id,mall,distance_m,store_to_amap_store,store_to_amap_mall,amap_store_to_amap_mall,amap_mall_name,amap_mall_addr,amap_mall_lat,amap_mall_lng,amap_store_name,amap_store_addr,amap_store_lat,amap_store_lng
DJI,bdfb1653-7c83-49e4-9970-5395088fc44f,重庆国泰优活城市广场授权体验店,重庆市渝中区国泰优活城市广场LG-05号,重庆市,MALL_00199,协信星光广场,146123.66452978508,,146123.66452978508,,协信星光广场,兴龙大道123号,29.363761,105.941175,,,,
Insta360,95d6802e-5c03-468b-b8a7-57bc9268f0fa,影石Insta360重庆国泰广场授权专卖店,重庆市渝中区邹容路108号国泰广场第 负2层（B2层）钻石中庭C,重庆市,MALL_00199,协信星光广场,65241.10012137515,34.99220241054591,65241.10012137515,65256.76587930265,协信星光广场,兴龙大道123号,29.363761,105.941175,国泰广场,邹容路108号(临江门地铁站出入口旁),29.558215,106.576148
DJI,eb31ce22-6e59-4217-aeda-3ac821c0ac52,北京龙湖亦庄天街授权体验店,北京经济技术开发区兴海路1号院1号楼1F-46a,北京市,MALL_00425,龙湖北京亦庄天街,35348.219962150375,35354.03733890845,35348.219962150375,12.688076264890809,龙湖北京亦庄天街,博兴八路与兴海路交叉口,39.753035,116.492452,DJI大疆(北京龙湖亦庄天街授权体验店),亦庄天街1F-46A,39.753032,116.4926
DJI,feb1e80b-e0c7-4ea0-b107-59ee5077f20e,东莞长安万科授权体验店,广东省东莞市长安镇长青路1号长安万科中心7栋L1-034室,东莞市,MALL_00040,万科广场(东莞长安店),25055.610623906985,,25055.610623906985,,万科广场(东莞长安店),长安镇长青南路1号,22.800602,113.799718,,,,
Insta360,c2e4724f-83bf-49aa-8b9e-b1f686d20c0f,影石Insta360北京清河万象汇授权体验店,清河中街68号/66号院1号楼万象汇一层L114 ,北京市,MALL_00247,北京清河万象汇西区,19320.571026025216,,,,,,,,,,,
DJI,d5f02393-f34d-4746-aab7-ae151f50e959,中山海雅缤纷天地授权体验店,广东省中山市南头镇南头大道东3号海雅缤纷广场一楼L107号铺,中山市,MALL_00219,海雅缤纷城,18729.279852312116,,18729.279852312116,,海雅缤纷城,南头镇升辉北路与同福中路交叉口东北60米,22.718041,113.305743,,,,
DJI,b2a9c2fd-eae4-4f82-877d-30e4cd88bd2f,济南西城龙湖授权体验店,山东省济南市槐荫区经十路29299号西城龙湖商场1F-52号,济南市,MALL_00236,龙湖济南奥体天街,18128.64068175612,,18128.64068175612,,龙湖济南奥体天街,奥体西路3699号(安成街地铁站出入口旁),36.66791,117.109674,,,,
Insta360,1d376712-d644-42bd-a052-67bf41d907ab,影石Insta360厦门SM授权体验店,厦门市湖里区嘉禾路468号SM广场一楼中庭KK102,厦门市,MALL_00094,SM厦门海沧城市广场,17780.515908325433,,17780.515908325433,,SM厦门海沧城市广场,孚莲路1818号,24.5394,117.956546,,,,
DJI,c6624349-73f0-426d-9d2e-659059c55f66,DJI 大疆|哈苏 西安万象城概念店,西安市雁塔区雁塔区长安南路2899号润泽商业中心L139-L140号,西安市,MALL_00036,西咸万象城,15921.229006102445,,,,,,,,,,,
DJI,25b6e3c0-1ed6-465d-bf56-636b1ebda5a0,苏州龙湖相城天街授权体验店,江苏省苏州市相城区相城大道1399号苏州龙湖相城天街1F-32,苏州市,MALL_00383,龙湖苏州相城天街A馆,15649.85301127972,,15649.85301127972,,龙湖苏州相城天街A馆,相城大道1399号龙湖苏州相城天街,31.370375,120.636675,,,,
