brand,store_id,store_name,store_city,store_type,mall_id,mall_name,mall_city,current_store_to_mall_m,orig_distance_m,amap_store_name,amap_store_address,amap_store_lat,amap_store_lng,amap_store_score,amap_mall_name,amap_mall_address,amap_mall_lat,amap_mall_lng,amap_mall_score,dist_store_to_amap_store_m,dist_store_to_amap_mall_m,dist_amap_store_to_amap_mall_m,new_best_dist_m,improvement_m,suggestion
DJI,eb31ce22-6e59-4217-aeda-3ac821c0ac52,北京龙湖亦庄天街授权体验店,北京市,授权体验店,MALL_00425,龙湖北京亦庄天街,北京市,22402.3,22402.3,DJI大疆(北京龙湖亦庄天街授权体验店),亦庄天街1F-46A,39.753032,116.4926,15,龙湖北京亦庄天街,博兴八路与兴海路交叉口,39.753035,116.492452,30.0,22397.2,22402.3,12.7,12.7,22389.6,显著优化建议修正
DJI,6fed88cc-e338-4553-a798-9912839e24b8,DJI 大疆|哈苏 南京IFC概念店,南京市,授权体验店,MALL_00423,南京国金中心,南京市,51919.2,51919.2,,,,,,city’super超·生活(南京国金中心店),江东中路345号南京ifc商场LG1层,31.993867,118.721746,30.0,,16.3,,16.3,51902.9,显著优化建议修正
DJI,53ce0b30-c08d-4656-ae78-21278ddb2436,佛山岭南站授权体验店,佛山市,授权体验店,MALL_00429,NOVA岭南站,佛山市,9571.7,9571.7,DJI大疆(佛山岭南站授权体验店),祖庙路29号岭南站一楼013B号铺(祖庙地铁站C口旁),23.027346,113.112972,15,NOVA岭南站,祖庙路29号(祖庙地铁站D口步行190米),23.027504,113.113054,25.0,9591.2,9571.7,19.4,19.4,9552.3,显著优化建议修正
DJI,c6d6b254-976d-4122-b478-a99c98bd7ae0,南宁宜家荟聚授权体验店,南宁市,授权体验店,MALL_00126,南宁荟聚(南宁商场宜家家居店),南宁市,4034.3,4034.3,DJI大疆(南宁宜家荟聚授权体验店),平乐大道12号宜家家居L1层01A03号,22.755108,108.378158,15,南宁荟聚(南宁商场宜家家居店),平乐大道12号(广西规划馆地铁站B口旁),22.755248,108.378028,30.0,4016.0,4034.3,20.5,20.5,4013.8,可优化(已在2km内)
DJI,e26a705e-e5af-41b9-8ca9-26c835f019c3,六安金安万达授权体验店,六安市,授权体验店,MALL_00409,六安金安万达,六安市,21050.5,21050.5,荣耀授权体验店(六安金安万达店),万达广场1B39荣耀体验店,31.762349,116.50805,10,盒马鲜生(六安金安万达广场店),金安万达广场1AF层,31.762161,116.508069,30.0,21066.5,21050.5,20.9,20.9,21029.6,显著优化建议修正
DJI,30578561-76fd-4584-ab72-f456363463bb,福州万象城授权体验店,福州市,授权体验店,MALL_00242,福州万象城,福州市,2460.5,2460.5,DJI大疆(福州万象城授权体验店),洪山园路5号福州万象城L527,26.074777,119.277207,15,福州万象城,洪山园路5号,26.074893,119.277387,30.0,2465.9,2460.5,22.1,22.1,2438.4,可优化(已在2km内)
DJI,96312567-9826-40cf-bf8e-e9449470d774,中山石岐万象汇授权体验店,中山市,授权体验店,MALL_00439,石岐万象汇,中山市,3049.1,3049.1,DJI大疆(中山石岐万象汇授权体验店),石岐区孙文东路28号LG层148号,22.520698,113.388177,15,石岐万象汇,石岐区街道莲新社区孙文东路28号,22.52081,113.387951,30.0,3024.7,3049.1,26.4,26.4,3022.7,可优化(已在2km内)
DJI,f4a4dfeb-8435-4244-8aaf-3a988ef90fd1,合肥包河万象汇授权体验店,合肥市,授权体验店,MALL_00494,合肥包河万象汇,合肥市,147576.0,147576.0,DJI大疆(合肥包河万象汇授权体验店),包河大道与龙川路交口包河万象汇L112号,31.808756,117.306535,15,包河万象汇,包河大道与龙川路交叉口东北角,31.808692,117.306929,30.0,147580.2,147576.0,38.0,38.0,147538.0,显著优化建议修正
DJI,a21c89f6-91cb-4a4c-973e-24d0600a9f4a,重庆龙湖金沙天街授权体验店,重庆市,授权体验店,MALL_00173,龙湖重庆金沙天街B馆,重庆市,5618.8,5618.8,DJI大疆(重庆龙湖金沙天街授权体验店),北站东路188号龙湖重庆金沙天街B馆1号门1F-35f(服务台旁),29.553584,106.462605,15,龙湖重庆金沙天街B馆,北站东路188号(沙坪坝地铁站8号口步行50米),29.553872,106.462323,30.0,5581.5,5618.8,42.0,42.0,5576.8,显著优化建议修正
DJI,fea59f88-fe56-48c9-8ed4-54c4562b69db,驻马店玖隆茂授权体验店,驻马店市,授权体验店,MALL_00712,玖隆茂购物中心,驻马店,99252.2,99252.2,荣耀授权体验店(驻马店玖隆茂店),乐山路与置地大道交叉口玖隆茂购物中心1层L1-022号,33.00284,114.028224,10,玖隆茂购物中心,乐山大道与置地大道交汇处,33.002724,114.028668,30.0,99268.8,99252.2,43.4,43.4,99208.8,显著优化建议修正
