brand,store_id,store_name,store_city,store_type,mall_id,mall_name,mall_city,current_store_to_mall_m,orig_distance_m,amap_store_name,amap_store_address,amap_store_lat,amap_store_lng,amap_store_score,amap_mall_name,amap_mall_address,amap_mall_lat,amap_mall_lng,amap_mall_score,dist_store_to_amap_store_m,dist_store_to_amap_mall_m,dist_amap_store_to_amap_mall_m,new_best_dist_m,improvement_m,suggestion
DJI,e6d15fc2-dfc6-4999-8898-751d01f415f7,重庆金开爱琴海授权体验店,重庆市,授权体验店,MALL_00493,重庆金开爱琴海,重庆市,2112.9,2112.9,,,,,,重庆金开爱琴海购物中心,金开大道1003号,29.641895,106.548538,30.0,,2112.9,,2112.9,0.0,有一定改善(需人工看)
DJI,52474b93-3bc6-40f5-aecb-174543fa6ff5,石家庄北国商城授权体验店,石家庄市,授权体验店,MALL_00272,北国商城,石家庄市,2273.8,2273.8,DJI大疆(石家庄北国商城授权体验店),建设南大街中山东路188号北国商城二期1楼中厅旁L175号,38.042097,114.51014,15.0,,,,,,2242.6,,,2242.6,31.2,有一定改善(需人工看)
DJI,8579fd22-b724-4e9f-bdaf-c219384dea30,佛山三水万达授权体验店,佛山市,授权体验店,MALL_00283,佛山三水万达,佛山市,2859.7,2859.7,,,,,,佛山三水万达广场,南丰大道13号,23.178118,112.904119,30.0,,2859.7,,2859.7,-0.0,改善有限或更差
DJI,a22def8a-8b44-48e7-99fa-1f335d05af29,天津滨海万达广场授权体验专区,天津市,授权体验店,MALL_00017,万达广场(天津滨海店),天津市,2888.1,2888.1,,,,,,万达广场(天津滨海店),洞庭路4572号,39.015602,117.680368,30.0,,2888.1,,2888.1,0.0,有一定改善(需人工看)
DJI,012f71f8-5054-494e-9c9e-cba7160cbf87,武汉光谷世界城授权体验店,武汉市,授权体验店,MALL_00186,世界城广场,武汉市,3137.1,3137.1,DJI大疆 武汉光谷世界城授权体验店,珞喻路766号光谷世界城广场1楼GC165GC170号,30.506254,114.405624,15.0,,,,,,3173.6,,,3173.6,-36.5,改善有限或更差
DJI,213eb871-dfe7-407e-98fb-a0755cc63b47,山东黄岛梦乐城授权体验店,青岛市,授权体验店,MALL_00440,永旺梦乐城西馆,青岛市,3723.2,3723.2,DJI大疆(山东黄岛梦乐城授权体验店),漓江西路1669号永旺梦乐城1层116号,35.931871,120.16437,15.0,,,,,,3736.7,,,3736.7,-13.5,改善有限或更差
Insta360,b1d870af-d4be-4e89-a1c2-42e4f8a2d4fe,影石Insta360西宁王府井授权体验店,西宁市,授权专卖店,MALL_00170,王府井百货B馆,西宁市,5153.5,5153.5,,,,,,王府井百货B馆,西大街42号,36.621458,101.777462,25.0,,5153.5,,5153.5,0.0,有一定改善(需人工看)
DJI,d5700946-e4d4-441f-b8e5-29a39dbbcd2e,重庆江岸天街授权体验店,重庆市,授权体验店,MALL_00500,重庆江岸天街,重庆市,5297.9,5297.9,,,,,,龙湖重庆江岸天街,江南大道15号,29.527506,106.570122,30.0,,5297.9,,5297.9,-0.0,改善有限或更差
DJI,d19b35e0-fdff-47cd-8211-709fe9d4d434,合肥万象城授权高级体验店,合肥市,授权体验店,MALL_00246,合肥万象城,合肥市,6207.8,6207.8,,,,,,合肥万象城,潜山路111号,31.799481,117.230754,30.0,,6207.8,,6207.8,0.0,有一定改善(需人工看)
DJI,224ae8e5-78d8-44ac-b1db-c750d23cde5b,武汉壹方天地授权体验店,武汉市,授权体验店,MALL_00070,武汉天地壹方购物中心,武汉市,6828.8,6828.8,DJI大疆(武汉壹方天地授权体验店),中山大道1515号武汉天地壹方南馆L1-19B铺位,30.610605,114.310373,15.0,,,,,,6795.8,,,6795.8,33.0,有一定改善(需人工看)
DJI,1704b13c-5a31-4d7a-9956-3b7f1d71396e,DJI 大疆|哈苏 上海前滩太古里概念店,上海市,授权体验店,MALL_00592,上海新天地新里,上海市,9786.4,9786.4,,,,,,上海新天地新里,黄陂南路388号(一大会址·新天地地铁站1号口步行430米),31.219534,121.475571,25.0,,6969.6,,6969.6,2816.8,有一定改善(需人工看)
DJI,a8ffd95a-408c-4227-8f41-59eb12c01e54,成都悠方授权体验店,成都市,授权体验店,MALL_00601,成都悠方广场,成都市,8738.8,8738.8,特斯拉成都悠方购物中心体验店,交子大道300号,30.583039,104.056868,10.0,,,,,,9038.5,,,9038.5,-299.7,改善有限或更差
DJI,7cc1c1fe-a86a-4a2c-9619-f48b5dc5b56f,佛山映月湖环宇城授权体验店,佛山市,授权体验店,MALL_00317,中海寰宇天地(千灯湖环宇城店),佛山市,9607.9,9607.9,,,,,,中海寰宇天地(千灯湖环宇城店),桂澜中路18号(近地铁礌岗站B出口),23.043588,113.156846,30.0,,9607.9,,9607.9,0.0,有一定改善(需人工看)
DJI,0a9e1564-f33b-4a52-900b-0bd89431bf28,贵阳万象汇授权体验店,贵阳市,授权体验店,MALL_00622,贵阳万象汇,贵阳市,10130.3,10130.3,DJI大疆(贵阳万象汇授权体验店),万象汇LG165大疆授权体验店,26.621102,106.621838,15.0,,,,,,10250.4,,,10250.4,-120.1,改善有限或更差
DJI,32c0e645-52e7-4df5-b9b3-bf11e42ed741,拉萨柳梧万达授权体验店,拉萨市,授权体验店,MALL_00027,拉萨柳梧万达广场,拉萨市,10909.1,10909.1,DJI大疆(拉萨柳梧万达授权体验店),柳梧新区万达广场一楼2号门1022商铺(近2号门),29.637771,91.102027,15.0,,,,,,10859.5,,,10859.5,49.6,有一定改善(需人工看)
DJI,fa0ed8b8-922b-4618-b4b1-ab1692adcea8,郑州正弘汇授权体验店,郑州市,授权体验店,MALL_00055,郑州正弘汇,郑州市,11126.6,11126.6,DJI大疆(郑州正弘汇授权体验店),郑州高新区正弘汇商业中心1层L160号商铺,34.808911,113.566287,15.0,郑州正弘汇,科学大道与瑞达路交叉口西北角,34.808911,113.566287,20.0,11126.6,11126.6,0.0,11126.6,-0.0,改善有限或更差
DJI,210b0b9d-c04e-4f36-85cb-d13d107ccbd8,南昌万象城授权体验店,南昌市,授权体验店,MALL_00518,南昌万象城,南昌市,11789.1,11789.1,DJI大疆(南昌万象城授权体验店),红谷滩区江西省南昌市红谷滩区红谷滩区学府大道388号万象城商业中心负一楼B143商铺,28.654759,115.847942,18.0,,,,,,11762.3,,,11762.3,26.8,有一定改善(需人工看)
DJI,b84ba91d-cef8-46d4-86d5-f37226696bdd,长沙步步高星城天地授权体验店,长沙市,授权体验店,MALL_00293,步步高·星城天地,长沙市,16960.2,16960.2,DJI大疆(长沙步步高星城天地授权体验店),湘府东路二段398号步步高星城天地G层048,28.112567,113.015465,15.0,,,,,,16774.9,,,16774.9,185.3,有一定改善(需人工看)
DJI,4880b959-7922-4277-9a17-ed657676430e,北京京东LIVE双井授权体验店,北京市,授权体验店,MALL_00181,京东MALL(北京双井店),北京市,43043.9,43043.9,,,,,,京东MALL(北京双井店),九龙商厦西1门(九龙山地铁站A西北口步行190米),39.894099,116.474207,30.0,,43043.9,,43043.9,-0.0,改善有限或更差
DJI,ad69c100-b032-4312-920c-ae3d14a5b4ef,郑州郑东万象城授权体验店,郑州市,授权体验店,MALL_00467,郑州郑东万象城,郑州市,44031.1,44031.1,,,,,,郑州郑东万象城,金水东路与东风南路交叉口西南角,34.765546,113.764208,30.0,,44031.1,,44031.1,0.0,有一定改善(需人工看)
DJI,2d1c1a08-d938-46dd-92cc-328bbf6026db,北京市祥云小镇授权体验店,北京市,授权体验店,MALL_00281,中粮·祥云小镇北区,北京市,51220.0,51220.0,,,,,,中粮·祥云小镇北区,安泰大街9号,40.08965,116.536591,25.0,,51220.0,,51220.0,-0.0,改善有限或更差
DJI,a2dcebb9-2f76-4818-87b9-6458835e86fe,广州凯德乐峰广场授权体验店,广州市,授权体验店,MALL_00212,乐峰广场,广州市,52293.9,52293.9,DJI大疆(广州凯德乐峰广场授权体验店),工业大道北106-108号乐峰广场B1层B1-S31、B1-S32,23.088186,113.258981,15.0,,,,,,52300.5,,,52300.5,-6.6,改善有限或更差
DJI,4a118d5e-8acc-40b3-b108-85546c970a44,信阳西亚城授权体验店,信阳市,授权体验店,MALL_00871,西亚城,信阳市,98744.8,98744.8,联想授权体验店(信阳西亚城店),龙江路西亚城商场L4,32.113425,114.119425,10.0,,,,,,98743.2,,,98743.2,1.6,有一定改善(需人工看)
Insta360,3d5e9eb2-7abe-4514-9408-78ba9869a3f7,影石Insta360广州百脑汇照材专卖店,广州市,授权专卖店,MALL_00640,天河百脑汇,广州市,75582.9,75582.9,,,,,,,,,,,,,,,,无高德结果
DJI,6a03a118-0665-449f-ac84-5a2ec037a0ea,北京大兴机场授权体验专区,北京市,授权体验店,MALL_00600,北京大兴国际机场航站楼,北京市,63938.6,63938.6,,,,,,,,,,,,,,,,无高德结果
