brand,store_id,store_name,store_city,store_type,store_lat,store_lng,mall_id,mall_name,mall_city,mall_lat,mall_lng,distance_m
DJI,f4a4dfeb-8435-4244-8aaf-3a988ef90fd1,合肥包河万象汇授权体验店,合肥市,授权体验店,30.481618,117.187416,MALL_00494,合肥包河万象汇,合肥市,31.808692,117.306929,147576.0
DJI,fea59f88-fe56-48c9-8ed4-54c4562b69db,驻马店玖隆茂授权体验店,驻马店市,授权体验店,32.111438,114.124818,MALL_00712,玖隆茂购物中心,驻马店,33.002724,114.028668,99252.2
DJI,4a118d5e-8acc-40b3-b108-85546c970a44,信阳西亚城授权体验店,信阳市,授权体验店,33.000928,114.03457,MALL_00871,西亚城,信阳市,32.113379,114.118961,98744.8
Insta360,3d5e9eb2-7abe-4514-9408-78ba9869a3f7,影石Insta360广州百脑汇照材专卖店,广州市,授权专卖店,23.797408,113.205411,MALL_00640,天河百脑汇,广州市,23.126039,113.338246,75582.9
DJI,6a03a118-0665-449f-ac84-5a2ec037a0ea,北京大兴机场授权体验专区,北京市,授权体验店,39.52349,116.398737,MALL_00600,北京大兴国际机场航站楼,北京市,40.079654,116.592345,63938.6
DJI,a5e32189-64b1-4b7b-8f13-6920b21a8dfb,北京清河万象汇授权体验店,北京市,授权体验店,40.357649,116.84326,MALL_00247,北京清河万象汇西区,北京市,40.030199,116.3327,56675.2
DJI,1b34d3c6-418b-45cf-bce9-bf1f37576a7c,绍兴银泰城授权体验店,绍兴市,授权体验店,30.299131,120.114904,MALL_00128,金帝·银泰城,绍兴市,29.985424,120.578763,56628.0
DJI,a2dcebb9-2f76-4818-87b9-6458835e86fe,广州凯德乐峰广场授权体验店,广州市,授权体验店,23.052071,113.767887,MALL_00212,乐峰广场,广州市,23.088633,113.259082,52293.9
DJI,6fed88cc-e338-4553-a798-9912839e24b8,DJI 大疆|哈苏 南京IFC概念店,南京市,授权体验店,31.993721,118.721762,MALL_00423,南京国金中心,南京市,31.592743,118.438673,51919.2
DJI,2d1c1a08-d938-46dd-92cc-328bbf6026db,北京市祥云小镇授权体验店,北京市,授权体验店,40.520406,116.321082,MALL_00281,中粮·祥云小镇北区,北京市,40.08965,116.536591,51220.0
DJI,69935c83-0d2c-4935-8ffd-51ce937b0597,东莞松山湖万象汇授权体验店,东莞市,授权体验店,22.591441,114.13601,MALL_00291,东莞松山湖万象汇,东莞市,22.956931,113.896049,47386.0
DJI,ad69c100-b032-4312-920c-ae3d14a5b4ef,郑州郑东万象城授权体验店,郑州市,授权体验店,34.458874,113.459433,MALL_00467,郑州郑东万象城,郑州市,34.765546,113.764208,44031.1
DJI,4880b959-7922-4277-9a17-ed657676430e,北京京东LIVE双井授权体验店,北京市,授权体验店,39.53448,116.286698,MALL_00181,京东MALL(北京双井店),北京市,39.894099,116.474207,43043.9
DJI,8728c533-544a-4b36-bfa7-b51953b5d180,江阴南门八佰伴授权体验店,无锡市,授权体验店,31.533386,120.165999,MALL_00150,八佰伴A馆,无锡市,31.897491,120.270281,41565.0
DJI,29fed156-f176-4626-a5de-45a9068f66f8,青岛城阳万象汇授权体验店,青岛市,授权体验店,36.080246,120.384853,MALL_00504,城阳万象汇,青岛市,36.306827,120.414533,25283.3
DJI,eb31ce22-6e59-4217-aeda-3ac821c0ac52,北京龙湖亦庄天街授权体验店,北京市,授权体验店,39.93533,116.604634,MALL_00425,龙湖北京亦庄天街,北京市,39.753035,116.492452,22402.3
DJI,e26a705e-e5af-41b9-8ca9-26c835f019c3,六安金安万达授权体验店,六安市,授权体验店,31.627885,116.665036,MALL_00409,六安金安万达,六安市,31.762161,116.508069,21050.5
DJI,576f3fe1-33f4-4456-bc71-1724d2832720,北京京西大悦城授权体验店,北京市,授权体验店,39.978856,116.411495,MALL_00415,京西大悦城,北京市,39.925501,116.183412,20370.9
DJI,b84ba91d-cef8-46d4-86d5-f37226696bdd,长沙步步高星城天地授权体验店,长沙市,授权体验店,28.198415,112.874801,MALL_00293,步步高·星城天地,长沙市,28.111786,113.017148,16960.2
DJI,cf52260f-dc4d-49fc-9665-733f47f3b5f0,西安万象天地授权体验店,西安市,授权体验店,34.289784,108.832831,MALL_00370,西安万象天地,西安市,34.199381,108.951634,14843.7
DJI,98726a43-e8e8-407e-b86b-acbd8ae0e8fa,泰安万达授权体验店,泰安市,授权体验店,36.067327,117.112559,MALL_00316,泰安万达广场,泰安市,36.181292,117.08786,12839.7
DJI,210b0b9d-c04e-4f36-85cb-d13d107ccbd8,南昌万象城授权体验店,南昌市,授权体验店,28.676026,115.96583,MALL_00518,南昌万象城,南昌市,28.655421,115.847511,11789.1
DJI,fa0ed8b8-922b-4618-b4b1-ab1692adcea8,郑州正弘汇授权体验店,郑州市,授权体验店,34.795998,113.686868,MALL_00055,郑州正弘汇,郑州市,34.808911,113.566287,11126.6
DJI,32c0e645-52e7-4df5-b9b3-bf11e42ed741,拉萨柳梧万达授权体验店,拉萨市,授权体验店,29.560987,91.032403,MALL_00027,拉萨柳梧万达广场,拉萨市,29.637666,91.102997,10909.1
DJI,7db68d5b-6ec1-407a-9d4f-e73ee0e56d5c,西宁城东吾悦授权体验店,西宁市,授权体验店,36.658701,101.758381,MALL_00419,吾悦广场,西宁市,36.584673,101.836383,10778.1
DJI,2735c911-4656-4ade-9d36-bd6652d065c7,乌鲁木齐汇嘉时代授权体验店,乌鲁木齐市,授权体验店,43.79811,87.622232,MALL_00179,汇嘉时代广场(北京路店),乌鲁木齐市,43.876141,87.556763,10143.6
DJI,0a9e1564-f33b-4a52-900b-0bd89431bf28,贵阳万象汇授权体验店,贵阳市,授权体验店,26.553071,106.691572,MALL_00622,贵阳万象汇,贵阳市,26.6195,106.621696,10130.3
DJI,1704b13c-5a31-4d7a-9956-3b7f1d71396e,DJI 大疆|哈苏 上海前滩太古里概念店,上海市,授权体验店,31.219537,121.548716,MALL_00592,上海新天地新里,上海市,31.152823,121.481489,9786.4
DJI,7cc1c1fe-a86a-4a2c-9619-f48b5dc5b56f,佛山映月湖环宇城授权体验店,佛山市,授权体验店,23.03667,113.063402,MALL_00317,中海寰宇天地(千灯湖环宇城店),佛山市,23.043588,113.156846,9607.9
DJI,53ce0b30-c08d-4656-ae78-21278ddb2436,佛山岭南站授权体验店,佛山市,授权体验店,23.105324,113.153697,MALL_00429,NOVA岭南站,佛山市,23.027504,113.113054,9571.7
DJI,a8ffd95a-408c-4227-8f41-59eb12c01e54,成都悠方授权体验店,成都市,授权体验店,30.547286,103.972196,MALL_00601,成都悠方广场,成都市,30.58304,104.053378,8738.8
Insta360,a5664272-adfb-4d7e-a210-851480403a26,影石Insta360上海北外滩来福士授权体验店,上海市,授权专卖店,31.220473,121.426339,MALL_00551,北外滩来福士广场,上海市,31.252638,121.50726,8494.1
DJI,59a588c9-3c14-4177-8069-481dc00c9d76,贵阳荔星中心授权体验店,贵阳市,授权体验店,26.568284,106.71939,MALL_00004,荔星中心,贵阳市,26.610024,106.647886,8492.4
DJI,c778e4d3-d1e7-4f75-b505-e8e60b86ec1d,重庆IFS国金中心授权体验店,重庆市,授权体验店,29.515897,106.522302,MALL_00080,重庆IFS国金中心,重庆市,29.575714,106.57343,8277.6
DJI,a328ddc9-4ec8-4d2f-b33e-20b50112c6ff,西安高新万达ONE授权体验店,西安市,授权体验店,34.242145,108.966661,MALL_00220,万达广场(西安高新店),西安市,34.208308,108.89162,7867.4
DJI,224ae8e5-78d8-44ac-b1db-c750d23cde5b,武汉壹方天地授权体验店,武汉市,授权体验店,30.550092,114.299062,MALL_00070,武汉天地壹方购物中心,武汉市,30.610832,114.310896,6828.8
DJI,641a9e45-6f7a-4446-ac0f-0c9263b815c3,长沙北辰荟授权体验店,长沙市,授权体验店,28.180237,112.984733,MALL_00579,长沙北辰荟,长沙市,28.236963,112.978086,6320.3
DJI,d19b35e0-fdff-47cd-8211-709fe9d4d434,合肥万象城授权高级体验店,合肥市,授权体验店,31.843834,117.270765,MALL_00246,合肥万象城,合肥市,31.799481,117.230754,6207.8
DJI,f21fbb8e-ecd4-478d-9583-099e916bf04a,DJI大疆 深圳旗舰店,深圳市,授权体验店,22.523064,113.993936,MALL_00597,深圳欢乐海岸,深圳市,22.517294,113.936797,5913.2
DJI,a21c89f6-91cb-4a4c-973e-24d0600a9f4a,重庆龙湖金沙天街授权体验店,重庆市,授权体验店,29.534727,106.516001,MALL_00173,龙湖重庆金沙天街B馆,重庆市,29.553872,106.462323,5618.8
DJI,d5700946-e4d4-441f-b8e5-29a39dbbcd2e,重庆江岸天街授权体验店,重庆市,授权体验店,29.507048,106.520735,MALL_00500,重庆江岸天街,重庆市,29.527506,106.570122,5297.9
DJI,f7a854e5-591b-4f2c-97cb-47acc14a1379,重庆悦荟购物中心授权体验店,重庆市,授权体验店,29.568895,106.551489,MALL_00188,重庆悦荟购物中心,重庆市,29.570716,106.497191,5265.3
Insta360,b1d870af-d4be-4e89-a1c2-42e4f8a2d4fe,影石Insta360西宁王府井授权体验店,西宁市,授权专卖店,36.649944,101.731953,MALL_00170,王府井百货B馆,西宁市,36.621458,101.777462,5153.5
DJI,344e608d-382a-4d0c-8074-b003cd04029c,长沙湘江永旺梦乐城授权体验店,长沙市,授权体验店,28.276466,112.895407,MALL_00527,长沙湘江永旺梦乐城,长沙市,28.236886,112.895887,4386.7
DJI,e8be0662-81c1-4ed5-b4e8-ebeaf5c33273,北京朝阳大悦城授权体验店,北京市,授权体验店,39.936744,116.567479,MALL_00270,朝阳大悦城,北京市,39.924544,116.519009,4359.0
DJI,052378e4-8698-4be5-8c6e-d50a286a8f1c,无锡八佰伴中心授权体验店,无锡市,授权体验店,31.57101,120.307343,MALL_00263,八佰伴中心,无锡市,31.584992,120.349249,4269.3
DJI,c6d6b254-976d-4122-b478-a99c98bd7ae0,南宁宜家荟聚授权体验店,南宁市,授权体验店,22.719921,108.387621,MALL_00126,南宁荟聚(南宁商场宜家家居店),南宁市,22.755248,108.378028,4034.3
DJI,c2415a62-2020-4dad-8b57-8f61b5e45da4,兰州城关万达授权体验店,兰州市,授权体验店,36.049697,103.822433,MALL_00580,万达广场(兰州城关店),兰州市,36.063449,103.86313,3971.6
DJI,213eb871-dfe7-407e-98fb-a0755cc63b47,山东黄岛梦乐城授权体验店,青岛市,授权体验店,35.955858,120.193438,MALL_00440,永旺梦乐城西馆,青岛市,35.931958,120.164474,3723.2
DJI,dc590a5a-93d0-4999-875d-c37c70b4bb0a,深圳卓悦中心授权高级体验店,深圳市,授权体验店,22.568764,114.064615,MALL_00130,卓悦中心,深圳市,22.536265,114.065453,3599.9
DJI,f0f2bc37-7287-4a49-982b-0a109bf4b46a,苏州大悦城授权体验店,苏州市,授权体验店,31.375871,120.621522,MALL_00062,苏州大悦城,苏州市,31.401503,120.606372,3186.4
DJI,012f71f8-5054-494e-9c9e-cba7160cbf87,武汉光谷世界城授权体验店,武汉市,授权体验店,30.516789,114.374882,MALL_00186,世界城广场,武汉市,30.506221,114.4052,3137.1
DJI,96312567-9826-40cf-bf8e-e9449470d774,中山石岐万象汇授权体验店,中山市,授权体验店,22.518039,113.417437,MALL_00439,石岐万象汇,中山市,22.52081,113.387951,3049.1
DJI,a22def8a-8b44-48e7-99fa-1f335d05af29,天津滨海万达广场授权体验专区,天津市,授权体验店,39.037588,117.698197,MALL_00017,万达广场(天津滨海店),天津市,39.015602,117.680368,2888.1
DJI,8579fd22-b724-4e9f-bdaf-c219384dea30,佛山三水万达授权体验店,佛山市,授权体验店,23.198767,112.887347,MALL_00283,佛山三水万达,佛山市,23.178118,112.904119,2859.7
Insta360,a430b889-feb0-49c8-a892-1f34e742c713,影石Insta360北京首都机场T3授权体验店,北京市,授权专卖店,40.091051,116.615815,MALL_00533,北京市朝阳区首都机场路首都国际机场,北京市,40.070933,116.5953,2837.6
DJI,0f0dce6b-94aa-414c-b380-4063e6345472,武汉金银潭永旺梦乐城授权体验店,武汉市,授权体验店,30.659828,114.26493,MALL_00319,永旺梦乐城(武汉金银潭店),武汉市,30.650288,114.237878,2800.2
DJI,30578561-76fd-4584-ab72-f456363463bb,福州万象城授权体验店,福州市,授权体验店,26.060443,119.29606,MALL_00242,福州万象城,福州市,26.074893,119.277387,2460.5
DJI,31294532-da34-4429-abcd-d2f9b852957f,广州白云湖金铂天地授权体验店,广州市,授权体验店,23.229581,113.272051,MALL_00244,广州市白云区机场,广州市,23.209704,113.264823,2322.3
DJI,b764f580-bcf8-44c4-ae4b-0d829d4356d4,桂林万象城授权体验店,桂林市,授权体验店,25.252053,110.288793,MALL_00405,桂林万象城,桂林市,25.262813,110.269287,2298.3
DJI,52474b93-3bc6-40f5-aecb-174543fa6ff5,石家庄北国商城授权体验店,石家庄市,授权体验店,38.022942,114.518265,MALL_00272,北国商城,石家庄市,38.042399,114.510164,2273.8
DJI,a31f741b-5956-42c3-91c0-f6235cdf1f56,阜阳商厦中心授权体验店,阜阳市,授权体验店,32.887801,115.819371,MALL_00513,阜阳商厦中心,阜阳市,32.891951,115.796314,2206.0
Insta360,7f209798-d0dc-43e2-819f-451f9d0352a2,北京五棵松雅奇昕荟售点1,北京市,,39.931234,116.286046,MALL_00883,北京五棵松万达广场,北京市,39.91324,116.27755,2125.9
