uuid,brand,name,city,token,candidate_mall_id,candidate_mall_name,distance_m,similarity,llm_chosen_mall_id,llm_confidence,llm_reason
1634f4c6-a62b-4288-887a-bda07c90d246,NIO,蔚来空间 | 北京顺义华联,北京市,北京顺义华联,MALL_77FC07EE,北京华联顺义金街购物中心,708.6,80.0,MALL_77FC07EE,high,门店名称明确包含'北京顺义华联'，与候选商场'北京华联顺义金街购物中心'品牌匹配度最高，且距离较近
9f3d1058-89d2-46ca-addd-5aab8bdef8a2,NIO,蔚来空间 | 上海世纪汇广场,上海市,上海世纪汇广场,MALL_F64E2A2B,九六广场,700.3,66.66666666666667,none,high,门店名称明确指向'上海世纪汇广场'，但候选商场列表中无匹配项，所有商场名称均不相同
26afdffd-d31b-4342-894f-54b0938fc634,Dior,,昆明市,东风东路21号 恒隆广场,MALL_431F0EC6,金俊广场,413.3,66.66666666666667,none,high,门店地址明确位于'恒隆广场'，但候选商场列表中无此商场，所有候选商场均不匹配
c1b0a2d6-3f29-4e5f-a8df-5f07d3d91d71,Popmart,广州琶洲保利,广州市,广东省广州市海珠区琶洲蟠龙新街2号保利广场,MALL_A37AA328,宜安广场,414.4,66.66666666666667,none,high,门店地址明确位于琶洲保利广场，但候选商场均在淘金、中山路等不同区域，距离较远且名称不匹配
712c0801-47ea-44ad-ab2b-c3a464229c9d,Popmart,广州番禺天河城店,广州市,广州番禺天河城,MALL_A8F8EDD9,广州番禺万达广场,407.1,72.72727272727273,none,high,门店名称为'广州番禺天河城店'，但候选商场列表中无'天河城'相关商场，所有候选商场名称与门店不匹配
838d5974-2af3-4d27-ac34-e79549e046ff,Popmart,西安万象天地,西安市,西安万象天地,MALL_B3D412A8,西安万象城(生命之树),394.4,80.0,MALL_B3D412A8,high,门店名称与商场名称完全匹配，且距离最近仅394.4米
0a9000e8-e169-4a68-b7bf-2ab0c3d025df,Popmart,哈尔滨学府凯德店B1,哈尔滨市,黑龙江省哈尔滨市南岗区学府路1-1号学府凯德广场,MALL_E31EF8EF,凯德广场·学府,396.7,72.72727272727273,MALL_E31EF8EF,high,门店地址明确提及'学府凯德广场'，与候选商场'凯德广场·学府'名称高度匹配，且距离最近仅396.7米
5ffb4a5a-9ad8-4a38-9853-22669572816f,Longchamp,昆明恒隆精品店,昆明市,云南省昆明市盘龙区东风东路21号昆明恒隆广场,MALL_431F0EC6,金俊广场,460.8,66.66666666666667,none,high,门店地址明确指向昆明恒隆广场，但候选商场列表中无恒隆广场，所有候选商场名称与门店所在商场不匹配
b7c2927e-5469-4ee5-97e7-ca7451075c0c,Hugo Boss,BOSS大连百年城黑牌,大连市,BOSS大连百年城,MALL_A3246E4C,大连银泰城,435.0,60.0,none,high,门店名明确标注'百年城'，但候选商场列表中无匹配，所有商场名称均不含'百年城'
8ee34c38-4755-42ed-9aaf-374fcc4c649d,Hugo Boss,BOSS上海佛罗伦萨奥特莱斯,上海市,BOSS上海佛罗伦萨奥特莱斯,MALL_E5C72D3E,上海佛罗伦萨小镇(上海名品奥特莱斯),476.9,60.0,MALL_E5C72D3E,high,门店地址明确位于'佛罗伦萨奥特莱斯H14-H16'，与候选商场'上海佛罗伦萨小镇(上海名品奥特莱斯)'名称高度匹配且距离仅476.9米
