business_area_id,key,name_raw,amap_id,adcode,province_code,city_code,district_code,province_name,city_name,district_name,center_lat,center_lng,mall_count,store_count,name
1,310114,南翔,310114,310114,310000,310100,310114,上海市,上海城区,嘉定区,31.332863295918322,121.28631222448989,10,88,南翔商圈
2,310120,环城东路,310120,310120,310000,310100,310120,上海市,上海城区,奉贤区,30.92141300000002,121.46768199999998,4,18,环城东路商圈
3,310113,罗店,310113,310113,310000,310100,310113,上海市,上海城区,宝山区,31.355735383233558,121.43689981437107,14,153,罗店商圈
4,310106,彭浦镇,310106,310113,310000,310100,310113,上海市,上海城区,宝山区,31.285483000000077,121.43355300000019,16,86,彭浦镇商圈
5,310151,城桥,310151,310151,310000,310100,310151,上海市,上海城区,崇明区,31.532838368421046,121.52392021052626,4,15,城桥商圈
6,310104,徐家汇,310104,310104,310000,310100,310104,上海市,上海城区,徐汇区,31.188732032258045,121.43567741935526,48,262,徐家汇商圈
7,310107,长寿路,310107,310107,310000,310100,310107,上海市,上海城区,普陀区,31.240267999999965,121.43616599999983,29,117,长寿路商圈
8,310110,江湾,310110,310110,310000,310100,310110,上海市,上海城区,杨浦区,31.291032113888985,121.50905704999974,54,306,江湾商圈
9,310117,泗泾,310117,310117,310000,310100,310117,上海市,上海城区,松江区,31.06841563095241,121.27576016666663,12,72,泗泾商圈
10,310115,康桥,310115,310115,310000,310100,310115,上海市,上海城区,浦东新区,31.1632671062271,121.59776614652,19,254,康桥商圈
11,310116,枫泾,310116,310116,310000,310100,310116,上海市,上海城区,金山区,30.849706999999995,121.17773443749996,7,9,枫泾商圈
12,310105,北新泾,310105,310105,310000,310100,310105,上海市,上海城区,长宁区,31.217858999999983,121.36765299999992,2,26,北新泾商圈
13,310112,颛桥,310112,310112,310000,310100,310112,上海市,上海城区,闵行区,31.12720453968252,121.37825200529107,14,175,颛桥商圈
14,310118,华新,310118,310118,310000,310100,310118,上海市,上海城区,青浦区,31.240801137931047,121.22056131034479,3,26,华新商圈
15,530922,迎新路,530922,530922,530000,530900,530922,云南省,临沧市,云县,24.438501,100.136309,3,6,迎新路商圈
16,530921,滇红南路,530921,530921,530000,530900,530921,云南省,临沧市,凤庆县,24.587535,99.923218,5,2,滇红南路商圈
17,530925,勐勐南路,530925,530925,530000,530900,530925,云南省,临沧市,双江拉祜族佤族布朗族傣族自治县,23.470904,99.823207,1,0,勐勐南路商圈
18,530702,福慧路,530702,530702,530000,530700,530702,云南省,丽江市,古城区,26.87824799999999,100.22123800000004,13,20,福慧路商圈
19,530724,万格路,530724,530724,530000,530700,530724,云南省,丽江市,宁蒗彝族自治县,27.280911,100.851434,2,1,万格路商圈
20,532901,建设路,532901,532901,530000,532900,532901,云南省,大理白族自治州,大理市,25.585252,100.22367699999998,4,4,建设路商圈
21,533102,姐岗路,533102,533102,530000,533100,533102,云南省,德宏傣族景颇族自治州,瑞丽市,24.012354000000002,97.861925,15,9,姐岗路商圈
22,533123,永盛路,533123,533123,530000,533100,533123,云南省,德宏傣族景颇族自治州,盈江县,24.70441299999999,97.936817,9,4,永盛路商圈
23,533103,德宏,533103,533103,530000,533100,533103,云南省,德宏傣族景颇族自治州,芒市,24.4335375,98.57905333333332,3,9,德宏商圈
24,532626,西正街,532626,532626,530000,532600,532626,云南省,文山壮族苗族自治州,丘北县,24.041462999999997,104.192771,3,3,西正街商圈
25,532601,开化,532601,532601,530000,532600,532601,云南省,文山壮族苗族自治州,文山市,23.370812068965513,104.24573620689654,13,16,开化商圈
