id,mall_code,name,original_name,province_code,city_code,district_code,province_name,city_name,district_name,address,lat,lng,business_area,amap_poi_id,mall_category,mall_level,developer,is_outlet,is_airport_mall,source,store_count,brand_count,brand_score_luxury,brand_score_light_luxury,brand_score_outdoor,brand_score_ev,brand_score_total,data_quality_score,created_at,updated_at,name_norm,admin_match_method,mall_category_method,mall_level_method,location_wkt,business_area_id,developer_group,developer_group_type,developer_confidence,opened_year,mall_lux_segment,mall_price_segment,mall_main_audience,mall_business_mix_type,revenue_bucket_value,revenue_bucket_confidence,revenue_bucket_source_type,evidence,search_snippets,name_core,merge_notes,核心商场
5418,MALL_5AE9AAA2,庐州印象,庐州印象,340000,340100,340103,安徽省,合肥市,庐阳区,逍遥津街道淮河路步行街118号,31.864991,117.294214,逍遥津,B0H0KZJTOK,shopping_mall,D,,False,False,amap,0,0,0,0,0,0,0,60,2025-12-06 03:18:06,2025-12-06 03:18:06,庐州印象,district_code,typecode_0601,brand_store_rule,POINT(117.294214 31.864991),2725,UNKNOWN,UNKNOWN,low,UNKNOWN,快消,大众,青年潮流,均衡,UNKNOWN,low,unknown,无搜索结果，基于mall_name和地址无法确认详情,,庐州印象,,0
5419,MALL_3FF1DDCF,新天地国际购物中心,新天地国际购物中心,340000,340100,340103,安徽省,合肥市,庐阳区,北一环濉溪路白水坝新天地国际购物中心1层,31.880449,117.279673,蒙城北路,B02270JPMQ,lifestyle_center,D,瑞安房地产,False,False,amap,0,0,0,0,0,0,0,70,2025-12-06 03:18:06,2025-12-06 03:18:06,新天地国际,district_code,keyword_lifestyle,brand_store_rule,POINT(117.279673 31.880449),2520,瑞安房地产,港澳外资,high,UNKNOWN,轻奢,中高端,青年潮流,均衡,UNKNOWN,low,unknown,开发商信息来自原始数据，其余字段无搜索结果支持，基于项目名称和常见定位推测,,新天地国际,,0
5420,MALL_44C917CA,新时代广场,新时代广场,340000,340100,340103,安徽省,合肥市,庐阳区,淮河路208号(四牌楼地铁站出入口步行470米),31.863776,117.291585,寿春,B022719VAR,shopping_mall,D,九龙仓,False,False,amap,0,0,0,0,0,0,0,70,2025-12-06 03:18:06,2025-12-06 03:18:06,新时代,district_code,keyword_shopping,brand_store_rule,POINT(117.291585 31.863776),1156,九龙仓,港澳外资,medium,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,low,unknown,开发商信息来自原始数据，无其他公开信息支持,,新时代广场,,0
5421,MALL_C5BA70DF,明发商业广场,明发商业广场,340000,340100,340103,安徽省,合肥市,庐阳区,四里河路88号,31.898661,117.234467,四里河路,B02270JTMZ,shopping_mall,D,,False,False,amap,0,0,0,0,0,0,0,55,2025-12-06 03:18:06,2025-12-06 03:18:06,明发,district_code,keyword_shopping,brand_store_rule,POINT(117.234467 31.898661),887,UNKNOWN,UNKNOWN,low,UNKNOWN,快消,大众,家庭亲子,均衡,UNKNOWN,low,unknown,,,明发商业广场,,0
5423,MALL_80003114,港荣百货,港荣百货,340000,340100,340103,安徽省,合肥市,庐阳区,明发商业广场B1商业街112号,31.896963,117.235211,四里河路,B0FFF2XNQ9,department_store,D,,False,False,amap,0,0,0,0,0,0,0,60,2025-12-06 03:18:06,2025-12-06 03:18:06,港荣,district_code,keyword_department,brand_store_rule,POINT(117.235211 31.896963),887,UNKNOWN,UNKNOWN,low,UNKNOWN,快消,大众,家庭亲子,零售主导,UNKNOWN,low,unknown,无搜索结果，仅根据mall_name和category推断基础属性,,港荣百货,,0
5427,MALL_5D005C41,绿都商城,绿都商城,340000,340100,340103,安徽省,合肥市,庐阳区,徽州路618号百大鼓楼名品中心银座F4,31.863707,117.288382,寿春,B0FFHDP0IF,shopping_mall,D,,False,False,amap,0,0,0,0,0,0,0,60,2025-12-06 03:18:06,2025-12-06 03:18:06,绿都,district_code,keyword_shopping,brand_store_rule,POINT(117.288382 31.863707),1156,UNKNOWN,UNKNOWN,low,UNKNOWN,快消,大众,家庭亲子,均衡,UNKNOWN,low,unknown,,,绿都商城,,0
5428,MALL_BEDC6EA9,美好荟,美好荟,340000,340100,340103,安徽省,合肥市,庐阳区,四里河路与潜山路交汇处(杏花村地铁站B口旁),31.879067,117.246434,四里河路,B0GRHAR7CB,shopping_mall,D,,False,False,amap,0,0,0,0,0,0,0,60,2025-12-06 03:18:06,2025-12-06 03:18:06,美好荟,district_code,typecode_0601,brand_store_rule,POINT(117.246434 31.879067),887,UNKNOWN,UNKNOWN,low,UNKNOWN,UNKNOWN,大众,家庭亲子,均衡,UNKNOWN,low,unknown,,,美好荟,,0
5429,MALL_C151587C,荟聚,荟聚,340000,340100,340103,安徽省,合肥市,庐阳区,蒙城路与临泉路交叉口西北180米,31.88821,117.277187,蒙城北路,B0JGH6MYH6,shopping_mall,D,,False,False,amap,0,0,0,0,0,0,0,60,2025-12-06 03:18:06,2025-12-06 03:18:06,荟聚,district_code,typecode_0601,brand_store_rule,POINT(117.277187 31.88821),2520,UNKNOWN,UNKNOWN,low,UNKNOWN,快消,中高端,家庭亲子,均衡,UNKNOWN,low,unknown,,,荟聚,,0
5431,MALL_9E3164E4,银泰中心二期,银泰中心二期,340000,340100,340103,安徽省,合肥市,庐阳区,中菜市巷与中菜市路交叉口南100米,31.862642,117.290582,逍遥津,B0FFIPR2CQ,shopping_mall,D,银泰商业,False,False,amap,2,2,0,0,0,0,2,90,2025-12-06 03:18:06,2025-12-06 03:18:06,银泰中心二期,district_code,keyword_shopping,brand_store_rule,POINT(117.290582 31.862642),2725,银泰商业,民企头部,medium,UNKNOWN,轻奢,中高端,青年潮流,均衡,UNKNOWN,low,unknown,品牌总数为2，无搜索结果支持更详细信息,,银泰中心,5430,0
5432,MALL_F557F12E,香港广场,香港广场,340000,340100,340103,安徽省,合肥市,庐阳区,淮河路266号,31.865748,117.286336,逍遥津,B02270JS0Y,shopping_mall,D,,False,False,amap,2,2,0,1,0,0,2,80,2025-12-06 03:18:06,2025-12-06 03:18:06,香港,district_code,keyword_shopping,brand_store_rule,POINT(117.286336 31.865748),2725,UNKNOWN,UNKNOWN,low,UNKNOWN,轻奢,中高端,白领,零售主导,UNKNOWN,low,unknown,品牌得分为轻奢1，总2，推测定位轻奢；地址位于城市核心区，面向白领；无开业年份及开发商信息,,香港广场,,0
