change_type,mall_code,name,old_category,new_category,old_level,new_level,reason
category,MALL_17B5A53B,五彩城,department_store,shopping_mall,,,keyword_shopping
category,MALL_E727E475,嘉亭荟城市生活广场,community_mall,lifestyle_center,,,keyword_lifestyle
category,MALL_3F9770AB,嘉亭荟城市生活广场2期,community_mall,lifestyle_center,,,keyword_lifestyle
category,MALL_5E608B26,嘉定商城(清河路),department_store,shopping_mall,,,keyword_shopping
category,MALL_037906DD,嘉定大橘邻里,community_mall,lifestyle_center,,,keyword_lifestyle
category,MALL_AF8E1A32,嘉实生活广场,community_mall,lifestyle_center,,,keyword_lifestyle
category,MALL_66088D16,百联嘉定购物中心,department_store,shopping_mall,,,keyword_shopping
category,MALL_3F992301,绿地嘉域生活中心,shopping_mall,lifestyle_center,,,keyword_lifestyle
category,MALL_07BD4CB2,绿洲生活广场,community_mall,lifestyle_center,,,keyword_lifestyle
category,MALL_2466FE4C,花都荟,department_store,shopping_mall,,,typecode_0601
category,MALL_2AB5ABB9,万莱广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_99E3B071,卓越优淘城,department_store,shopping_mall,,,keyword_shopping
category,MALL_C8B03E13,圆心汇生活广场,community_mall,lifestyle_center,,,keyword_lifestyle
category,MALL_E2EF93A4,宝华帝华商业广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_0F780AC8,恒龙金尊广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_942B23DD,欧士通时尚广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_4239BCB2,海港国际商贸城3幢,department_store,shopping_mall,,,keyword_shopping
category,MALL_1EB9415D,百联南桥购物中心,department_store,shopping_mall,,,keyword_shopping
category,MALL_149682A3,百联南桥购物中心1期,department_store,shopping_mall,,,keyword_shopping
category,MALL_7BB937C7,苏宁生活广场(达政路),community_mall,lifestyle_center,,,keyword_lifestyle
category,MALL_1CEED684,东方国贸新城,department_store,shopping_mall,,,keyword_shopping
category,MALL_62939CF2,云瑞邻里中心,community_mall,lifestyle_center,,,keyword_lifestyle
category,MALL_59087BB2,北斗星商业广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_C31E0899,场北商业广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_4B3FB176,宝山花园城,department_store,shopping_mall,,,keyword_shopping
