mall_code,name,city_name,district_name,lat,lng,amap_poi_id,brand_count,store_count,search_query_dev,search_query_opened
MALL_E71B6B76,购物中心,大理白族自治州,南涧彝族自治县,24.834571,100.311985,B0J10CDZRX,30,2014,大理白族自治州购物中心 开发商,大理白族自治州购物中心 开业时间
MALL_EA53CB51,国际广场,湛江市,雷州市,20.913621,110.078554,B0FFFA7GO1,22,160,湛江市国际广场 开发商,湛江市国际广场 开业时间
MALL_5BB5ADF0,购物广场,包头市,白云鄂博矿区,41.772741,109.969163,B0HRVR27WG,19,681,包头市购物广场 开发商,包头市购物广场 开业时间
MALL_67CC3CE7,商业中心,呼和浩特市,回民区,40.835912,111.611276,B0FFKLHLBQ,17,163,呼和浩特市商业中心 开发商,呼和浩特市商业中心 开业时间
MALL_AF0DAEC2,丹尼斯,安阳市,文峰区,36.099409,114.350414,B01740NQP3,17,59,安阳市丹尼斯 开发商,安阳市丹尼斯 开业时间
MALL_AFA399FC,中心商场,楚雄彝族自治州,武定县,25.529242,102.404613,B0FFHLZ5ZH,17,30,楚雄彝族自治州中心商场 开发商,楚雄彝族自治州中心商场 开业时间
MALL_8FBDA589,商业广场,昭通市,威信县,27.844946,105.043869,B0JGT9Y4FW,16,374,昭通市商业广场 开发商,昭通市商业广场 开业时间
MALL_33420260,奥特莱斯,宜宾市,屏山县,28.814775,104.370625,B0L216T6TB,16,170,宜宾市奥特莱斯 开发商,宜宾市奥特莱斯 开业时间
MALL_B0C64AB1,八佰伴,宣城市,宣州区,30.944871,118.75402,B0FFF4PAOU,15,43,宣城市八佰伴 开发商,宣城市八佰伴 开业时间
MALL_E98B1D19,万科广场,北京城区,大兴区,39.805672,116.459424,B0FFGKQX49,14,87,北京城区万科广场 开发商,北京城区万科广场 开业时间
MALL_0529A8D4,城市广场,清远市,阳山县,24.476724,112.643565,B02FB0P0L9,13,217,清远市城市广场 开发商,清远市城市广场 开业时间
MALL_F30A70BD,百货大楼,保山市,施甸县,24.722956,99.184718,B0FFHPBVA1,13,158,保山市百货大楼 开发商,保山市百货大楼 开业时间
MALL_9AE7C500,银座商城,东营市,东营区,37.444741,118.664684,B022201ZEL,13,58,东营市银座商城 开发商,东营市银座商城 开业时间
