id,mall_code,name,original_name,province_code,city_code,district_code,province_name,city_name,district_name,address,lat,lng,business_area,amap_poi_id,mall_category,mall_level,developer,is_outlet,is_airport_mall,source,store_count,brand_count,brand_score_luxury,brand_score_light_luxury,brand_score_outdoor,brand_score_ev,brand_score_total,data_quality_score,created_at,updated_at,name_norm,admin_match_method,mall_category_method,mall_level_method,location_wkt,business_area_id,developer_group,developer_group_type,developer_confidence,opened_year,mall_lux_segment,mall_price_segment,mall_main_audience,mall_business_mix_type,revenue_bucket_value,revenue_bucket_confidence,revenue_bucket_source_type,evidence,search_snippets,name_core,merge_notes,核心商场
3713,MALL_DA5FFC7F,韩国城购物中心,韩国城购物中心,510000,510100,510116,四川省,成都市,双流区,大件路白家段280号(珠江路地铁站A口步行480米),30.569425,104.008322,白家,B0FFFAGMA5,shopping_mall,D,,False,False,amap,0,0,0,0,0,0,0,55,2025-12-06 03:18:06,2025-12-06 03:18:06,韩国城,district_code,keyword_shopping,brand_store_rule,POINT(104.008322 30.569425),2209,UNKNOWN,UNKNOWN,low,UNKNOWN,快消,大众,家庭亲子,均衡,UNKNOWN,low,unknown,,,韩国城,,0
3767,MALL_0CA23852,成都万象城,成都万象城,510000,510100,510108,四川省,成都市,成华区,双庆路8号,30.648501,104.115317,万年场,B001C8O6UD,shopping_mall,D,华润置地,False,False,amap,8,8,0,2,1,1,8,85,2025-12-06 03:18:06,2025-12-06 03:18:06,成都,district_code,keyword_shopping,brand_store_rule,POINT(104.115317 30.648501),20,华润置地,央国企,high,UNKNOWN,轻奢,高端,家庭亲子,均衡,UNKNOWN,low,unknown,开发商为华润置地，属央国企；品牌构成含轻奢及新能源车等，定位偏高端；无开业年份及营收数据来源,,成都万象城,,1
3779,MALL_0C46556F,龙湖·滨江天街,龙湖·滨江天街,510000,510100,510108,四川省,成都市,成华区,成华大道杉板桥路266号,30.66552,104.125231,建设路,B0FFLO2OW7,shopping_mall,D,龙湖商业,False,False,amap,1,1,0,0,0,0,1,90,2025-12-06 03:18:06,2025-12-06 03:18:06,龙湖滨江天街,district_code,typecode_0601,brand_store_rule,POINT(104.125231 30.66552),1343,龙湖集团,民企头部,high,UNKNOWN,快消,中高端,家庭亲子,均衡,UNKNOWN,low,unknown,开发商龙湖商业归一为龙湖集团，属民企头部；品牌总数1且无重奢/轻奢品牌，定位快消；龙湖系 mall 通常定位中高端、家庭亲子客群；无营收数据依据,,龙湖·滨江天街,,1
3812,MALL_1D18C53E,万达广场,万达广场(成都锦城店),510000,510100,510107,四川省,成都市,武侯区,锦城大道666号,30.576403,104.062131,交子商圈,B001C8NYYI,shopping_mall,D,万达商管,False,False,amap,0,0,0,0,0,0,0,65,2025-12-06 03:18:06,2025-12-06 03:18:06,万达,district_code,keyword_shopping,brand_store_rule,POINT(104.062131 30.576403),376,UNKNOWN,UNKNOWN,low,UNKNOWN,快消,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,low,unknown,,,万达广场,,0
3813,MALL_C600E480,世豪广场,世豪广场,510000,510100,510107,四川省,成都市,武侯区,天府二街999号(大源地铁站B2口步行110米),30.550119,104.044959,大源,B0FFF9UNIK,shopping_mall,D,,False,False,amap,8,7,0,0,1,1,7,75,2025-12-06 03:18:06,2025-12-06 03:18:06,世豪,district_code,keyword_shopping,brand_store_rule,POINT(104.044959 30.550119),987,UNKNOWN,UNKNOWN,low,UNKNOWN,轻奢,中高端,白领,零售主导,UNKNOWN,low,unknown,品牌评分含轻奢及户外、新能源汽车品牌，定位偏轻奢；位于地铁口附近办公区，主要客群为白领；零售品牌占比相对较高,,世豪广场,,1
3815,MALL_90BE490D,伊藤洋华堂,伊藤洋华堂(双楠店),510000,510100,510107,四川省,成都市,武侯区,逸都路6号,30.646045,104.021231,双楠,B0FFF0DTTF,shopping_mall,D,,False,False,amap,0,0,0,0,0,0,0,55,2025-12-06 03:18:06,2025-12-06 03:18:06,伊藤洋华堂,district_code,typecode_0601,brand_store_rule,POINT(104.021231 30.646045),774,UNKNOWN,UNKNOWN,low,UNKNOWN,轻奢,中高端,家庭亲子,均衡,UNKNOWN,low,unknown,,,伊藤洋华堂,,0
3817,MALL_3728C1C4,凯德天府,凯德天府(天仁路店),510000,510100,510107,四川省,成都市,武侯区,高新区天仁路388号(火车南站地铁站H1口旁),30.603094,104.069334,桂溪,B001C8P59N,shopping_mall,D,凯德集团,False,False,amap,0,0,0,0,0,0,0,55,2025-12-06 03:18:06,2025-12-06 03:18:06,凯德天府,district_code,typecode_0601,brand_store_rule,POINT(104.069334 30.603094),1710,凯德集团,港澳外资,high,UNKNOWN,轻奢,中高端,青年潮流,均衡,UNKNOWN,low,unknown,,,凯德天府,,0
3818,MALL_CE7B5862,凯德广场,凯德广场(新南店),510000,510100,510107,四川省,成都市,武侯区,盛和一路99号,30.601678,104.062914,桐梓林,B0FFHKCDQW,shopping_mall,D,凯德集团,False,False,amap,0,0,0,0,0,0,0,65,2025-12-06 03:18:06,2025-12-06 03:18:06,凯德,district_code,keyword_shopping,brand_store_rule,POINT(104.062914 30.601678),1721,凯德集团,港澳外资,high,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,low,unknown,开发商信息来自输入字段，归一后确认为港澳外资；其余字段无搜索结果支持,,凯德广场,,0
3819,MALL_2CFA9355,吾悦广场,吾悦广场(成都武侯店),510000,510100,510107,四川省,成都市,武侯区,武侯大道顺江段77号,30.626218,103.988576,,B0FFIOT7GT,shopping_mall,D,新城控股,False,False,amap,0,0,0,0,0,0,0,65,2025-12-06 03:18:06,2025-12-06 03:18:06,吾悦,district_code,keyword_shopping,brand_store_rule,POINT(103.988576 30.626218),1,新城控股,民企头部,high,UNKNOWN,轻奢,中高端,家庭亲子,均衡,UNKNOWN,low,unknown,,,吾悦广场,,0
3820,MALL_79710617,尚品广场,尚品广场,510000,510100,510107,四川省,成都市,武侯区,聚龙路988号,30.620703,103.998678,,B0FFGWUOC3,shopping_mall,D,,False,False,amap,0,0,0,0,0,0,0,55,2025-12-06 03:18:06,2025-12-06 03:18:06,尚品,district_code,keyword_shopping,brand_store_rule,POINT(103.998678 30.620703),1,UNKNOWN,UNKNOWN,low,UNKNOWN,快消,大众,家庭亲子,均衡,UNKNOWN,low,unknown,无搜索结果，仅根据基础信息推测业态和定位,,尚品广场,,0
