id,mall_code,name,original_name,province_code,city_code,district_code,province_name,city_name,district_name,address,lat,lng,business_area,amap_poi_id,mall_category,mall_level,developer,is_outlet,is_airport_mall,source,store_count,brand_count,brand_score_luxury,brand_score_light_luxury,brand_score_outdoor,brand_score_ev,brand_score_total,data_quality_score,created_at,updated_at,name_norm,admin_match_method,mall_category_method,mall_level_method,location_wkt,developer_group,developer_group_type,developer_confidence,opened_year,mall_lux_segment,mall_price_segment,mall_main_audience,mall_business_mix_type,revenue_bucket_value,revenue_bucket_confidence,revenue_bucket_source_type,evidence,search_snippets,business_area_id
677,MALL_A6A5C40F,东川百货大楼,东川百货大楼,530000,530100,530113,云南省,昆明市,东川区,凯通路25号,26.083498,103.182744,,B0367028DE,department_store,D,,False,False,amap,0,0,0,0,0,0,0,60,2025-12-06 03:18:06,2025-12-06 03:18:06,东川百货大楼,district_code,keyword_department,brand_store_rule,POINT(103.182744 26.083498),UNKNOWN,UNKNOWN,low,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,low,unknown,,,1
680,MALL_3A4285A9,钻石年华(团结路),钻石年华(团结路),530000,530100,530113,云南省,昆明市,东川区,凯通路20号,26.086232,103.182074,,B03670VYKQ,shopping_mall,D,,False,False,amap,0,0,0,0,0,0,0,60,2025-12-06 03:18:06,2025-12-06 03:18:06,钻石年华(团结路),district_code,typecode_0601,brand_store_rule,POINT(103.182074 26.086232),UNKNOWN,UNKNOWN,low,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,low,unknown,,,1
681,MALL_9EB302CB,铜城邻里,铜城邻里,530000,530100,530113,云南省,昆明市,东川区,白玉路与兴玉路交叉口西南280米,26.072529,103.186294,白云街,B0LUA7J9O1,lifestyle_center,D,,False,False,amap,0,0,0,0,0,0,0,60,2025-12-06 03:18:06,2025-12-06 03:18:06,铜城邻里,district_code,keyword_lifestyle,brand_store_rule,POINT(103.186294 26.072529),UNKNOWN,UNKNOWN,low,UNKNOWN,UNKNOWN,社区刚需,UNKNOWN,UNKNOWN,UNKNOWN,low,unknown,无搜索结果，信息不足,,2205
682,MALL_D1834C85,铜都商城,铜都商城,530000,530100,530113,云南省,昆明市,东川区,古铜路与碧云街交汇处东100米,26.081996,103.180834,,B0367055LH,shopping_mall,D,,False,False,amap,0,0,0,0,0,0,0,60,2025-12-06 03:18:06,2025-12-06 03:18:06,铜都,district_code,keyword_shopping,brand_store_rule,POINT(103.180834 26.081996),UNKNOWN,UNKNOWN,low,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,low,unknown,,,1
684,MALL_4C337FCF,世纪广场(南屏街),世纪广场(南屏街),530000,530100,530102,云南省,昆明市,五华区,护国街道南屏街88号,25.037812,102.712244,,B036704DZF,shopping_mall,D,,False,False,amap,0,0,0,0,0,0,0,60,2025-12-06 03:18:06,2025-12-06 03:18:06,世纪广场(南屏街),district_code,keyword_shopping,brand_store_rule,POINT(102.712244 25.037812),UNKNOWN,UNKNOWN,low,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,low,unknown,,,1
685,MALL_AF12237B,吾悦广场,吾悦广场(昆明五华店),530000,530100,530102,云南省,昆明市,五华区,王筇路180号(大河埂地铁站出入口步行380米),25.090312,102.658288,,B0FFHGRL87,shopping_mall,D,新城控股,False,False,amap,0,0,0,0,0,0,0,65,2025-12-06 03:18:06,2025-12-06 03:18:06,吾悦,district_code,keyword_shopping,brand_store_rule,POINT(102.658288 25.090312),新城控股,民企头部,high,UNKNOWN,快消,大众,家庭亲子,零售主导,UNKNOWN,low,unknown,吾悦广场为新城控股开发，定位中端商业，以零售为主，服务本地家庭客群，无公开营收数据,,1
686,MALL_B48678B5,和谐广场,和谐广场(小康大道店),530000,530100,530102,云南省,昆明市,五华区,小康大道88号,25.101126,102.732031,红云,B03670Y914,shopping_mall,D,,False,False,amap,29,7,0,0,0,0,7,80,2025-12-06 03:18:06,2025-12-06 03:18:06,和谐,district_code,keyword_shopping,brand_store_rule,POINT(102.732031 25.101126),UNKNOWN,UNKNOWN,low,UNKNOWN,快消,大众,UNKNOWN,零售主导,UNKNOWN,low,unknown,,,2349
687,MALL_82ABB25E,大观商业城,大观商业城,530000,530100,530102,云南省,昆明市,五华区,东风西路167号(潘家湾地铁站B口步行270米),25.041699,102.696898,昆都,B03670X9X9,shopping_mall,D,,False,False,amap,0,0,0,0,0,0,0,60,2025-12-06 03:18:06,2025-12-06 03:18:06,大观,district_code,keyword_shopping,brand_store_rule,POINT(102.696898 25.041699),UNKNOWN,UNKNOWN,low,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,low,unknown,,,1562
688,MALL_4FD95F6C,昆明恒旺广场,昆明恒旺广场,530000,530100,530102,云南省,昆明市,五华区,昌源北路与科技路交叉口东220米,25.073659,102.649365,,B0FFHEW8A8,shopping_mall,D,,False,False,amap,0,0,0,0,0,0,0,55,2025-12-06 03:18:06,2025-12-06 03:18:06,昆明恒旺,district_code,keyword_shopping,brand_store_rule,POINT(102.649365 25.073659),UNKNOWN,UNKNOWN,low,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,low,unknown,,,1
689,MALL_7702BA73,昆明百货大楼,昆明百货大楼,530000,530100,530102,云南省,昆明市,五华区,东风西路1号(五一路地铁站B口步行210米),25.035523,102.709324,三市街,B0367029A9,department_store,D,,False,False,amap,0,0,0,0,0,0,0,60,2025-12-06 03:18:06,2025-12-06 03:18:06,昆明百货大楼,district_code,keyword_department,brand_store_rule,POINT(102.709324 25.035523),UNKNOWN,UNKNOWN,low,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,low,unknown,,,48
