mall_code,name,province_name,city_name,district_name,address,lat,lng,city_tier,city_tier_bucket,mall_lux_segment,mall_price_segment,mall_category,mall_level,brand_score_total,brand_score_luxury,brand_score_light_luxury,opened_year,revenue_bucket_value,revenue_bucket_confidence,revenue_bucket_source_type
MALL_EEE1CA7E,王府井百货,云南省,昆明市,五华区,沿河路7号王府井百货1F,25.035482,102.706653,新一线,top12,轻奢,中高端,department_store,C,16,0,1,UNKNOWN,UNKNOWN,low,unknown
MALL_5E22FA7F,茂业天地,四川省,成都市,双流区,黄河中路二段与机场路近都段辅路交叉口南230米,30.57261,103.998387,新一线,top12,轻奢,中高端,lifestyle_center,D,10,0,2,UNKNOWN,UNKNOWN,low,unknown
MALL_0CA23852,成都万象城,四川省,成都市,成华区,双庆路8号,30.648501,104.115317,新一线,top12,轻奢,中高端,shopping_mall,D,8,0,2,UNKNOWN,UNKNOWN,low,unknown
MALL_81ECE666,成都大悦城,四川省,成都市,武侯区,大悦路518号,30.626041,104.011166,新一线,top12,轻奢,中高端,shopping_mall,D,6,0,1,UNKNOWN,UNKNOWN,low,unknown
MALL_0768A93A,成都IFS,四川省,成都市,锦江区,红星路三段1号(春熙路地铁站出入口旁),30.654802,104.081504,新一线,top12,轻奢,中高端,shopping_mall,D,3,0,1,2013,10-20,medium,news_media
MALL_EB0084C3,成都太古里,四川省,成都市,锦江区,中纱帽街8号,30.653358,104.083809,新一线,top12,轻奢,中高端,lifestyle_center,D,4,0,0,UNKNOWN,UNKNOWN,low,unknown
MALL_CA6E20A4,群光广场,四川省,成都市,锦江区,春熙路南段8号,30.654024,104.076775,新一线,top12,轻奢,中高端,shopping_mall,D,8,0,2,UNKNOWN,10-20,medium,model_estimation
MALL_15FAF2BC,新城市广场,四川省,成都市,青羊区,西大街1号,30.673989,104.057543,新一线,top12,轻奢,中高端,shopping_mall,D,6,0,1,UNKNOWN,5-10,medium,model_estimation
MALL_81EA7A90,茂业仁和春天百货,四川省,成都市,青羊区,二环路西二段19号,30.663119,104.020536,新一线,top12,轻奢,中高端,department_store,D,0,0,0,UNKNOWN,UNKNOWN,low,unknown
MALL_FBFE4C46,合肥银泰中心,安徽省,合肥市,庐阳区,长江中路98号,31.862669,117.29143,新一线,top12,轻奢,中高端,shopping_mall,D,4,1,2,UNKNOWN,UNKNOWN,low,unknown
MALL_F557F12E,香港广场,安徽省,合肥市,庐阳区,淮河路266号,31.865748,117.286336,新一线,top12,轻奢,中高端,shopping_mall,D,2,0,1,UNKNOWN,UNKNOWN,low,unknown
MALL_F4BEDF05,合肥万象城,安徽省,合肥市,蜀山区,潜山路111号,31.799481,117.230754,新一线,top12,轻奢,中高端,shopping_mall,D,5,0,2,UNKNOWN,UNKNOWN,low,unknown
MALL_F9D3CE2C,济南万象城,山东省,济南市,历下区,经十路11111号,36.658808,117.100205,二线,top12,轻奢,中高端,shopping_mall,D,5,0,1,UNKNOWN,UNKNOWN,low,unknown
MALL_7E8570DD,青岛万象城,山东省,青岛市,市南区,山东路6号甲(五四广场地铁站出入口旁),36.067152,120.377704,新一线,top12,轻奢,中高端,shopping_mall,D,4,0,1,UNKNOWN,UNKNOWN,low,unknown
MALL_33CDC49A,麦凯乐,山东省,青岛市,市南区,香港中路69号,36.065988,120.402906,新一线,top12,轻奢,中高端,shopping_mall,D,6,0,1,UNKNOWN,5-10,medium,model_estimation
MALL_828CBC76,佛山王府井紫薇港·WALKIN,广东省,佛山市,禅城区,季华四路70号,23.010341,113.100236,二线,top12,轻奢,中高端,shopping_mall,D,0,0,0,UNKNOWN,UNKNOWN,low,unknown
MALL_5374F264,O'PLAZA欢乐海岸购物中心,广东省,佛山市,顺德区,欢乐大道3号欢乐海岸广场4栋西北方向100米,22.818444,113.305785,二线,top12,轻奢,中高端,shopping_mall,D,0,0,0,2013,10-20,medium,news_media
MALL_C39AD429,南沙悠方天地西区,广东省,广州市,南沙区,翠瑜街与丰泽西路交叉口东北80米,22.798863,113.519353,一线,top12,轻奢,中高端,lifestyle_center,D,0,0,0,UNKNOWN,UNKNOWN,low,unknown
MALL_561B2809,K11购物艺术中心,广东省,广州市,天河区,珠江东路6号,23.117789,113.326132,一线,top12,轻奢,中高端,shopping_mall,D,6,0,1,UNKNOWN,UNKNOWN,low,unknown
MALL_E20BBD56,太古汇,广东省,广州市,天河区,天河路383号(地铁3号线石牌桥站C出口),23.134218,113.332479,一线,top12,轻奢,高端,shopping_mall,D,15,3,5,UNKNOWN,10-20,medium,model_estimation
MALL_9D90C76C,广州汉溪K11购物艺术中心,广东省,广州市,番禺区,汉溪大道东178号广州K11 Select,22.993143,113.331064,一线,top12,轻奢,中高端,shopping_mall,D,0,0,0,UNKNOWN,UNKNOWN,low,unknown
MALL_D03E90B6,外商新天地,广东省,广州市,越秀区,广州大道中293号(杨箕东地铁站C3口步行80米),23.124655,113.314352,一线,top12,轻奢,中高端,lifestyle_center,D,0,0,0,UNKNOWN,UNKNOWN,low,unknown
MALL_772866BD,海港城,广东省,广州市,越秀区,沿江东路418号,23.113625,113.282641,一线,top12,轻奢,中高端,shopping_mall,D,6,0,2,UNKNOWN,UNKNOWN,low,unknown
MALL_A5B16C6E,深圳万象天地,广东省,深圳市,南山区,粤海街道深南大道9668号华润城万象天地,22.541865,113.95596,一线,top12,轻奢,中高端,lifestyle_center,D,4,0,1,UNKNOWN,UNKNOWN,low,unknown
MALL_31F32C2E,深圳湾万象城,广东省,深圳市,南山区,科苑大道和海德三道华润集团总部大厦楼下,22.514854,113.943912,一线,top12,轻奢,中高端,shopping_mall,D,9,2,1,UNKNOWN,10-20,medium,model_estimation
MALL_A2B828BB,深圳万象城,广东省,深圳市,罗湖区,宝安南路1881号,22.53923,114.11068,一线,top12,轻奢,中高端,shopping_mall,D,9,0,2,UNKNOWN,10-20,medium,model_estimation
MALL_C0857531,深圳万象城-2期,广东省,深圳市,罗湖区,宝安南路1881号(鹿丹村地铁站C口步行320米),22.537994,114.110958,一线,top12,轻奢,中高端,shopping_mall,D,0,0,0,UNKNOWN,UNKNOWN,low,unknown
MALL_F3D2D127,金光华广场,广东省,深圳市,罗湖区,嘉宾路4号,22.539409,114.119782,一线,top12,轻奢,中高端,shopping_mall,D,7,0,2,UNKNOWN,5-10,medium,model_estimation
MALL_E6198F09,梦之岛百货,广西壮族自治区,南宁市,青秀区,金湖路61号梦之岛水晶城百货3层,22.81694,108.369251,二线,top12,轻奢,中高端,department_store,D,2,0,1,UNKNOWN,UNKNOWN,low,unknown
