old_id,old_mall_code,old_name,master_id,master_mall_code,master_name,merge_reason
18240,MALL_FCB6315E,购物中心,18230,MALL_90AD0EC6,奥特莱斯,same_name_norm_same_district
6168,MALL_8CF51550,购物中心,6167,MALL_AED8968D,购物中心,same_name_norm_same_district
24313,MALL_538D4264,购物中心,24302,MALL_3E571BF9,商业广场,same_name_norm_same_district
2425,MALL_E9871D47,Plus365购物中心,2424,MALL_2EDEBC2E,Plus 365,same_name_norm_same_district
29112,MALL_995F4342,万家惠购物中心,29111,MALL_BDBC2EB7,万家惠购物中心,same_name_norm_same_district
28736,MALL_7F9BF140,万家福购物广场,28735,MALL_27218838,万家福百货,same_name_norm_same_district
19114,MALL_F915AC72,万德隆购物广场,19113,MALL_695584C6,万德隆购物广场,same_name_norm_same_district
6869,MALL_B774E10B,万福龙购物广场,6868,MALL_CBAEF2B4,万福龙购物中心,same_name_norm_same_district
2164,MALL_65291461,万达广场,2163,MALL_954113E5,万达广场,same_name_norm_same_district
4798,MALL_9D449190,万达广场,4797,MALL_13357F59,万达广场,same_name_norm_same_district
28442,MALL_7DDC03D2,万达广场,28441,MALL_3A3CE1F9,万达广场,same_name_norm_same_district
28618,MALL_F14ED036,万达广场,28617,MALL_75AF74AB,万达广场,same_name_norm_same_district
28567,MALL_0554E89C,万达广场,28566,MALL_B7A30E3A,万达广场,same_name_norm_same_district
28568,MALL_D4B73FC5,万达百货,28566,MALL_B7A30E3A,万达广场,same_name_norm_same_district
28282,MALL_67C9BC2A,万达广场,28281,MALL_F526B787,万达商业中心,same_name_norm_same_district
3033,MALL_5F794DD5,万达广场,3032,MALL_16F3093D,万达广场,same_name_norm_same_district
3069,MALL_11EDB063,万达广场,3068,MALL_91AFF6B5,万达广场,same_name_norm_same_district
31237,MALL_01AB2AD7,万达广场,31236,MALL_19B5D69E,万达广场,same_name_norm_same_district
31238,MALL_1F69E0C5,万达广场,31236,MALL_19B5D69E,万达广场,same_name_norm_same_district
283,MALL_4D72946F,万达广场,282,MALL_3B85D06B,万达广场,same_name_norm_same_district
15491,MALL_66A848ED,万达广场,15490,MALL_D800C987,万达广场,same_name_norm_same_district
14692,MALL_8B307088,万达广场,14691,MALL_2BB3E9E4,万达广场,same_name_norm_same_district
21695,MALL_5B63CA7E,万达广场,21694,MALL_96F69442,万达广场,same_name_norm_same_district
21505,MALL_F1D5976D,万达百货,21504,MALL_A428B41A,万达广场,same_name_norm_same_district
21573,MALL_AF192F8C,万达广场,21572,MALL_1F160B5F,万达广场,same_name_norm_same_district
21230,MALL_64C15561,万达广场,21229,MALL_5ACC6C17,万达广场,same_name_norm_same_district
22252,MALL_AA50D450,万达广场,22251,MALL_8553ECEB,万达广场,same_name_norm_same_district
22588,MALL_AB7A5B01,万达广场,22587,MALL_EC83B8A7,万达广场,same_name_norm_same_district
