mall_code,name,city_name,district_name,existing_poi,status,candidate_poi_id,candidate_name,score,distance_m,need_review,action
MALL_D0EBAC7E,万达广场,上海城区,嘉定区,B00155QYJW,matched,B00155QYJW,万达广场(上海江桥店),75.0,0.0,False,kept_existing
MALL_74E09129,上海TSF购物中心,上海城区,嘉定区,B0I30SLIDQ,matched,B0I30SLIDQ,上海TSF购物中心,90.0,0.0,False,kept_existing
MALL_3E32FAF6,上海南翔印象城MEGA,上海城区,嘉定区,B0FFK8KCHM,matched,B0FFK8KCHM,上海南翔印象城MEGA,90.0,0.0,False,kept_existing
MALL_6C24E734,上海南翔太茂商业广场,上海城区,嘉定区,B0FFGR7W28,matched,B0FFGR7W28,上海南翔太茂商业广场,90.0,0.0,False,kept_existing
MALL_17B5A53B,五彩城,上海城区,嘉定区,B0FFG953YQ,matched,B0FFG953YQ,五彩城,90.0,0.0,False,kept_existing
MALL_E727E475,嘉亭荟城市生活广场,上海城区,嘉定区,B00156DWX7,matched,B00156DWX7,嘉亭荟城市生活广场,90.0,0.0,False,kept_existing
MALL_3F9770AB,嘉亭荟城市生活广场2期,上海城区,嘉定区,B0HRJZNI9L,matched,B0HRJZNI9L,嘉亭荟城市生活广场2期,90.0,0.0,False,kept_existing
MALL_CDC6E904,嘉定上影广场,上海城区,嘉定区,B0FFGCBRSI,matched,B0FFGCBRSI,嘉定上影广场,90.0,0.0,False,kept_existing
MALL_5E608B26,嘉定商城(清河路),上海城区,嘉定区,B00151DDDD,matched,B00151DDDD,嘉定商城(清河路),90.0,0.0,False,kept_existing
MALL_037906DD,嘉定大橘邻里,上海城区,嘉定区,B0HKKSIWL5,matched,B0HKKSIWL5,嘉定大橘邻里,90.0,0.0,False,kept_existing
MALL_B6C13BED,嘉定宝龙广场,上海城区,嘉定区,B0FFFP74DR,matched,B0FFFP74DR,嘉定宝龙广场,90.0,0.0,False,kept_existing
MALL_AF8E1A32,嘉实生活广场,上海城区,嘉定区,B0FFF00SWU,matched,B0FFF00SWU,嘉实生活广场,90.0,0.0,False,kept_existing
MALL_9FB80FCA,嘉莲华国际商业广场,上海城区,嘉定区,B00155QYS7,matched,B00155QYS7,嘉莲华国际商业广场,90.0,0.0,False,kept_existing
MALL_E6C13EA3,大融城,上海城区,嘉定区,B0FFG6P1CM,matched,B0FFG6P1CM,大融城,90.0,0.0,False,kept_existing
MALL_66088D16,百联嘉定购物中心,上海城区,嘉定区,B0FFGXJP9R,matched,B0FFGXJP9R,百联嘉定购物中心,90.0,0.0,False,kept_existing
MALL_3F992301,绿地嘉域生活中心,上海城区,嘉定区,B0FFFQ2QB2,matched,B0FFFQ2QB2,绿地嘉域生活中心,90.0,0.0,False,kept_existing
MALL_A0ED3C11,绿地嘉尚国际广场,上海城区,嘉定区,B0015729LA,matched,B0015729LA,绿地嘉尚国际广场,90.0,0.0,False,kept_existing
MALL_07BD4CB2,绿洲生活广场,上海城区,嘉定区,B0FFIA8DSN,matched,B0FFIA8DSN,绿洲生活广场,90.0,0.0,False,kept_existing
MALL_2466FE4C,花都荟,上海城区,嘉定区,B0FFKZPMG2,matched,B0FFKZPMG2,花都荟,90.0,0.0,False,kept_existing
MALL_2AB5ABB9,万莱广场,上海城区,奉贤区,B0LG553VDE,matched,B0LG553VDE,万莱广场,90.0,0.0,False,kept_existing
MALL_145392FD,乐汇购物广场,上海城区,奉贤区,B0FFF61ZY8,matched,B0FFF61ZY8,乐汇购物广场,90.0,0.0,False,kept_existing
MALL_99E3B071,卓越优淘城,上海城区,奉贤区,B0FFGHCOR6,matched,B0FFGHCOR6,卓越优淘城,90.0,0.0,False,kept_existing
MALL_C8B03E13,圆心汇生活广场,上海城区,奉贤区,B0HACRWIPU,matched,B0HACRWIPU,圆心汇生活广场,90.0,0.0,False,kept_existing
MALL_89550CEE,大骏百货,上海城区,奉贤区,B0FFGJ97KL,matched,B0FFGJ97KL,大骏百货,90.0,0.0,False,kept_existing
MALL_E2EF93A4,宝华帝华商业广场,上海城区,奉贤区,B0FFKV48P6,matched,B0FFKV48P6,宝华帝华商业广场,90.0,0.0,False,kept_existing
