mall_code,name,city_name,district_name,existing_poi,status,candidate_poi_id,candidate_name,score,distance_m,need_review,action,lat,lng
MALL_E71B6B76,购物中心,大理白族自治州,南涧彝族自治县,B0J10CDZRX,matched,B0J10CDZRX,购物中心,0.0,0.0,True,kept_existing,24.834571,100.311985
MALL_2E1A0FA1,吾悦广场(暂停营业),昆明市,安宁市,B0FFK8UJO1,matched,B0FFK8UJO1,吾悦广场(昆明安宁店)(暂停营业),50.0,0.0,True,kept_existing,24.925933,102.483542
MALL_8FBDA589,商业广场,昭通市,威信县,B0JGT9Y4FW,matched,B0JGT9Y4FW,商业广场,0.0,0.0,True,kept_existing,27.844946,105.043869
MALL_2B2DCAE9,商业广场,玉溪市,元江哈尼族彝族傣族自治县,B0FFLNLQGM,matched,B0FFLNLQGM,商业广场(元江财富广场店),0.0,0.0,True,kept_existing,23.594069,102.00423
MALL_5BB5ADF0,购物广场,包头市,白云鄂博矿区,B0HRVR27WG,matched,B0HRVR27WG,购物广场,0.0,0.0,True,kept_existing,41.772741,109.969163
MALL_8299DFF6,万达广场(建设中),呼伦贝尔市,鄂温克族自治旗,B0GUV5W7RR,matched,B0GUV5W7RR,万达广场(呼伦贝尔海拉尔店)(建设中),50.0,0.0,True,kept_existing,49.167163,119.747461
MALL_67CC3CE7,商业中心,呼和浩特市,回民区,B0FFKLHLBQ,matched,B0FFKLHLBQ,商业中心,0.0,0.0,True,kept_existing,40.835912,111.611276
MALL_3768DCCA,青城荟DAVE MALL购物中心(装修中),呼和浩特市,新城区,B0HDJ7W896,matched,B0HDJ7W896,青城荟DAVE MALL购物中心(富恒广场店)(装修中),50.0,0.0,True,kept_existing,40.853975,111.758775
MALL_40D4EB71,益利购物广场,通辽市,扎鲁特旗,B01DB00XHY,matched,B01DB00TGD,益利广场,77.12,1030.2,True,mismatch_review,44.545346,120.908695
MALL_286CCC10,购物中心,北京城区,石景山区,B0I13ZO52M,matched,B0I13ZO52M,购物中心(苹果汇店),0.0,0.0,True,kept_existing,39.926521,116.179784
MALL_6C743A4D,商业城,四平市,铁东区,B0FFK6OXJ7,matched,B0FFK6OXJ7,商业城,0.0,0.0,True,kept_existing,43.16713,124.386807
MALL_0B44D50A,购物中心,通化市,二道江区,B0FFFYU6KW,matched,B0FFFYU6KW,购物中心(东华路店),0.0,0.0,True,kept_existing,41.776316,126.046255
MALL_80FF8943,购物中心,通化市,梅河口市,B01B300J6Z,matched,B01B300J6Z,购物中心(泰源街店),0.0,0.0,True,kept_existing,42.531552,125.688697
MALL_82D49C5D,购物中心,通化市,通化县,B01B300JIK,matched,B01B300JIK,购物中心,0.0,0.0,True,kept_existing,41.67851,125.75351
MALL_6FCE404E,星耀·活力城MALL(建设中),长春市,绿园区,B0H045CIFC,matched,B0H045CIFC,星耀·活力城MALL(湖滨公园壹号店)(建设中),50.0,0.0,True,kept_existing,43.876355,125.225336
MALL_9B0BAED0,达达超市(装修中),凉山彝族自治州,西昌市,B034202X8J,matched,B034200452,达达购物广场,71.19,304.7,True,mismatch_review,27.887764,102.262148
MALL_18D99005,印象·南部奥特莱斯广场(建设中),南充市,南部县,B0H0HMETZ2,matched,B0H0HMETZ2,印象·南部奥特莱斯广场(五城·国际店)(建设中),50.0,0.0,True,kept_existing,31.34596,106.032077
MALL_C08F8AF3,购物广场,南充市,营山县,B0HKX6PB7G,matched,B0HKX6PB7G,购物广场(凯悦·世纪城店),0.0,0.0,True,kept_existing,31.084406,106.577083
MALL_A86039A1,商业中心,南充市,顺庆区,B0FFL76SOW,matched,B0FFL76SOW,商业中心,0.0,0.0,True,kept_existing,30.855914,106.121198
MALL_E20C3235,大型购物中心(装修中),宜宾市,屏山县,B0FFKYBSY7,matched,B0FFKYBSY7,大型购物中心(岷江商都店)(装修中),50.0,0.0,True,kept_existing,28.832976,104.345797
MALL_33420260,奥特莱斯,宜宾市,屏山县,B0L216T6TB,matched,B0L216T6TB,奥特莱斯,0.0,0.0,True,kept_existing,28.814775,104.370625
MALL_2A0FED27,购物中心,宜宾市,长宁县,B0HKNSPKOW,matched,B0HKNSPKOW,购物中心,0.0,0.0,True,kept_existing,28.587139,104.924331
MALL_326ED40E,购物中心,成都市,金堂县,B0JR3O9L6Z,matched,B0JR3O9L6Z,购物中心,0.0,0.0,True,kept_existing,30.690364,104.628507
MALL_B08C63B7,万达广场送车点-益安,成都市,金牛区,B0LGSH6HAN,matched,B0LGSH6HAN,万达广场(金牛店)送车点-益安,50.0,0.0,True,kept_existing,30.686415,104.073831
MALL_A2C80E4F,恒业国际日用品商城,成都市,金牛区,B0J6YHY8WO,matched,B001C8WC69,恒业国际日用品商城,90.0,0.0,True,mismatch_review,30.707802,104.063145
