id,country_code,province_code,city_code,district_code,level,parent_code,province_name,city_name,district_name,short_city_name,city_tier,city_cluster,is_municipality,is_subprovincial,gdp,population,gdp_per_capita,income_per_capita,stats_year,citycode,center_lon,center_lat,created_at,updated_at
1,CN,110000,,,province,,北京市,,,,,,True,False,43760.7,2185,200278,81752,2023,010,,,2025-12-05 23:50:09,2025-12-05 23:50:09
2,CN,120000,,,province,,天津市,,,,,,True,False,16737.3,1364,122707,51271,2023,022,,,2025-12-05 23:50:09,2025-12-05 23:50:09
3,CN,130000,,,province,,河北省,,,,,,False,False,43944.1,7393,59440,32903,2023,0315,,,2025-12-05 23:50:09,2025-12-05 23:50:09
4,CN,140000,,,province,,山西省,,,,,,False,False,25698.18,3465,74165,31839,2023,0353,,,2025-12-05 23:50:09,2025-12-05 23:50:09
5,CN,150000,,,province,,内蒙古自治区,,,,,,False,False,24627.0,2396,102784,37482,2023,0478,,,2025-12-05 23:50:09,2025-12-05 23:50:09
6,CN,210000,,,province,,辽宁省,,,,,,False,False,30209.4,4182,72237,37960,2023,0429,,,2025-12-05 23:50:09,2025-12-05 23:50:09
7,CN,220000,,,province,,吉林省,,,,,,False,False,13531.19,2339,57850,29140,2023,0432,,,2025-12-05 23:50:09,2025-12-05 23:50:09
8,CN,230000,,,province,,黑龙江省,,,,,,False,False,15883.9,3091,51388,28102,2023,0457,,,2025-12-05 23:50:09,2025-12-05 23:50:09
9,CN,310000,,,province,,上海市,,,,,,True,False,47218.66,2487,189862,84834,2023,021,,,2025-12-05 23:50:09,2025-12-05 23:50:09
10,CN,320000,,,province,,江苏省,,,,,,False,False,128222.16,8526,150390,52987,2023,0518,,,2025-12-05 23:50:09,2025-12-05 23:50:09
11,CN,330000,,,province,,浙江省,,,,,,False,False,82553.0,6577,125518,63830,2023,0580,,,2025-12-05 23:50:09,2025-12-05 23:50:09
12,CN,340000,,,province,,安徽省,,,,,,False,False,47050.6,6127,76792,34593,2023,0562,,,2025-12-05 23:50:09,2025-12-05 23:50:09
13,CN,350000,,,province,,福建省,,,,,,False,False,54355.0,4183,129943,45636,2023,0593,,,2025-12-05 23:50:09,2025-12-05 23:50:09
14,CN,360000,,,province,,江西省,,,,,,False,False,32074.7,4515,71040,33217,2023,0790,,,2025-12-05 23:50:09,2025-12-05 23:50:09
15,CN,370000,,,province,,山东省,,,,,,False,False,92069.0,10163,90592,39890,2023,0546,,,2025-12-05 23:50:09,2025-12-05 23:50:09
16,CN,410000,,,province,,河南省,,,,,,False,False,59132.39,9815,60247,29536,2023,0379,,,2025-12-05 23:50:09,2025-12-05 23:50:09
17,CN,420000,,,province,,湖北省,,,,,,False,False,55803.63,5838,95587,35809,2023,0710,,,2025-12-05 23:50:09,2025-12-05 23:50:09
18,CN,430000,,,province,,湖南省,,,,,,False,False,50000.0,6568,76127,35895,2023,0730,,,2025-12-05 23:50:09,2025-12-05 23:50:09
19,CN,440000,,,province,,广东省,,,,,,False,False,135673.16,12706,106779,54859,2023,0754,,,2025-12-05 23:50:09,2025-12-05 23:50:09
20,CN,450000,,,province,,广西壮族自治区,,,,,,False,False,27202.39,5027,54113,29195,2023,0776,,,2025-12-05 23:50:09,2025-12-05 23:50:09
21,CN,460000,,,province,,海南省,,,,,,False,False,7551.18,1027,73527,32818,2023,1892,,,2025-12-05 23:50:09,2025-12-05 23:50:09
22,CN,500000,,,province,,重庆市,,,,,,True,False,30145.79,3212,93854,38135,2023,023,,,2025-12-05 23:50:09,2025-12-05 23:50:09
23,CN,510000,,,province,,四川省,,,,,,False,False,60132.9,8368,71861,32514,2023,0839,,,2025-12-05 23:50:09,2025-12-05 23:50:09
24,CN,520000,,,province,,贵州省,,,,,,False,False,20913.25,3856,54236,26420,2023,0852,,,2025-12-05 23:50:09,2025-12-05 23:50:09
25,CN,530000,,,province,,云南省,,,,,,False,False,30021.0,4673,64244,28150,2023,0870,,,2025-12-05 23:50:09,2025-12-05 23:50:09
26,CN,540000,,,province,,西藏自治区,,,,,,False,False,2392.67,366,65373,28983,2023,0895,,,2025-12-05 23:50:09,2025-12-05 23:50:09
27,CN,610000,,,province,,陕西省,,,,,,False,False,33786.07,3956,85405,32854,2023,0914,,,2025-12-05 23:50:09,2025-12-05 23:50:09
