country,province_name,city_name,district_name,adcode
中华人民共和国,云南省,临沧市,临翔区,530902
中华人民共和国,云南省,临沧市,云县,530922
中华人民共和国,云南省,临沧市,凤庆县,530921
中华人民共和国,云南省,临沧市,双江拉祜族佤族布朗族傣族自治县,530925
中华人民共和国,云南省,临沧市,永德县,530923
中华人民共和国,云南省,临沧市,沧源佤族自治县,530927
中华人民共和国,云南省,临沧市,耿马傣族佤族自治县,530926
中华人民共和国,云南省,临沧市,镇康县,530924
中华人民共和国,云南省,丽江市,华坪县,530723
中华人民共和国,云南省,丽江市,古城区,530702
中华人民共和国,云南省,丽江市,宁蒗彝族自治县,530724
中华人民共和国,云南省,丽江市,永胜县,530722
中华人民共和国,云南省,丽江市,玉龙纳西族自治县,530721
中华人民共和国,云南省,保山市,施甸县,530521
中华人民共和国,云南省,保山市,昌宁县,530524
中华人民共和国,云南省,保山市,腾冲市,530581
中华人民共和国,云南省,保山市,隆阳区,530502
中华人民共和国,云南省,保山市,龙陵县,530523
中华人民共和国,云南省,大理白族自治州,云龙县,532929
中华人民共和国,云南省,大理白族自治州,剑川县,532931
中华人民共和国,云南省,大理白族自治州,南涧彝族自治县,532926
中华人民共和国,云南省,大理白族自治州,大理市,532901
中华人民共和国,云南省,大理白族自治州,宾川县,532924
中华人民共和国,云南省,大理白族自治州,巍山彝族回族自治县,532927
中华人民共和国,云南省,大理白族自治州,弥渡县,532925
中华人民共和国,云南省,大理白族自治州,永平县,532928
中华人民共和国,云南省,大理白族自治州,洱源县,532930
中华人民共和国,云南省,大理白族自治州,漾濞彝族自治县,532922
中华人民共和国,云南省,大理白族自治州,祥云县,532923
中华人民共和国,云南省,大理白族自治州,鹤庆县,532932
中华人民共和国,云南省,德宏傣族景颇族自治州,梁河县,533122
中华人民共和国,云南省,德宏傣族景颇族自治州,瑞丽市,533102
中华人民共和国,云南省,德宏傣族景颇族自治州,盈江县,533123
中华人民共和国,云南省,德宏傣族景颇族自治州,芒市,533103
中华人民共和国,云南省,德宏傣族景颇族自治州,陇川县,533124
中华人民共和国,云南省,怒江傈僳族自治州,兰坪白族普米族自治县,533325
中华人民共和国,云南省,怒江傈僳族自治州,泸水市,533301
中华人民共和国,云南省,怒江傈僳族自治州,福贡县,533323
中华人民共和国,云南省,怒江傈僳族自治州,贡山独龙族怒族自治县,533324
中华人民共和国,云南省,文山壮族苗族自治州,丘北县,532626
中华人民共和国,云南省,文山壮族苗族自治州,富宁县,532628
中华人民共和国,云南省,文山壮族苗族自治州,广南县,532627
中华人民共和国,云南省,文山壮族苗族自治州,文山市,532601
中华人民共和国,云南省,文山壮族苗族自治州,砚山县,532622
中华人民共和国,云南省,文山壮族苗族自治州,西畴县,532623
中华人民共和国,云南省,文山壮族苗族自治州,马关县,532625
中华人民共和国,云南省,文山壮族苗族自治州,麻栗坡县,532624
中华人民共和国,云南省,昆明市,东川区,530113
中华人民共和国,云南省,昆明市,五华区,530102
中华人民共和国,云南省,昆明市,呈贡区,530114
中华人民共和国,云南省,昆明市,安宁市,530181
中华人民共和国,云南省,昆明市,官渡区,530111
中华人民共和国,云南省,昆明市,宜良县,530125
中华人民共和国,云南省,昆明市,富民县,530124
中华人民共和国,云南省,昆明市,寻甸回族彝族自治县,530129
中华人民共和国,云南省,昆明市,嵩明县,530127
中华人民共和国,云南省,昆明市,晋宁区,530115
中华人民共和国,云南省,昆明市,盘龙区,530103
中华人民共和国,云南省,昆明市,石林彝族自治县,530126
中华人民共和国,云南省,昆明市,禄劝彝族苗族自治县,530128
中华人民共和国,云南省,昆明市,西山区,530112
中华人民共和国,云南省,昭通市,大关县,530624
中华人民共和国,云南省,昭通市,威信县,530629
中华人民共和国,云南省,昭通市,巧家县,530622
中华人民共和国,云南省,昭通市,彝良县,530628
中华人民共和国,云南省,昭通市,昭阳区,530602
中华人民共和国,云南省,昭通市,水富市,530681
中华人民共和国,云南省,昭通市,永善县,530625
中华人民共和国,云南省,昭通市,盐津县,530623
中华人民共和国,云南省,昭通市,绥江县,530626
中华人民共和国,云南省,昭通市,镇雄县,530627
中华人民共和国,云南省,昭通市,鲁甸县,530621
中华人民共和国,云南省,普洱市,墨江哈尼族自治县,530822
中华人民共和国,云南省,普洱市,孟连傣族拉祜族佤族自治县,530827
中华人民共和国,云南省,普洱市,宁洱哈尼族彝族自治县,530821
中华人民共和国,云南省,普洱市,思茅区,530802
中华人民共和国,云南省,普洱市,景东彝族自治县,530823
中华人民共和国,云南省,普洱市,景谷傣族彝族自治县,530824
中华人民共和国,云南省,普洱市,江城哈尼族彝族自治县,530826
中华人民共和国,云南省,普洱市,澜沧拉祜族自治县,530828
中华人民共和国,云南省,普洱市,西盟佤族自治县,530829
中华人民共和国,云南省,普洱市,镇沅彝族哈尼族拉祜族自治县,530825
中华人民共和国,云南省,曲靖市,会泽县,530326
中华人民共和国,云南省,曲靖市,宣威市,530381
中华人民共和国,云南省,曲靖市,富源县,530325
中华人民共和国,云南省,曲靖市,师宗县,530323
中华人民共和国,云南省,曲靖市,沾益区,530303
中华人民共和国,云南省,曲靖市,罗平县,530324
中华人民共和国,云南省,曲靖市,陆良县,530322
中华人民共和国,云南省,曲靖市,马龙区,530304
中华人民共和国,云南省,曲靖市,麒麟区,530302
中华人民共和国,云南省,楚雄彝族自治州,元谋县,532328
中华人民共和国,云南省,楚雄彝族自治州,南华县,532324
中华人民共和国,云南省,楚雄彝族自治州,双柏县,532322
中华人民共和国,云南省,楚雄彝族自治州,大姚县,532326
中华人民共和国,云南省,楚雄彝族自治州,姚安县,532325
中华人民共和国,云南省,楚雄彝族自治州,楚雄市,532301
中华人民共和国,云南省,楚雄彝族自治州,武定县,532329
中华人民共和国,云南省,楚雄彝族自治州,永仁县,532327
中华人民共和国,云南省,楚雄彝族自治州,牟定县,532323
中华人民共和国,云南省,楚雄彝族自治州,禄丰市,532302
中华人民共和国,云南省,玉溪市,元江哈尼族彝族傣族自治县,530428
中华人民共和国,云南省,玉溪市,华宁县,530424
中华人民共和国,云南省,玉溪市,峨山彝族自治县,530426
中华人民共和国,云南省,玉溪市,新平彝族傣族自治县,530427
中华人民共和国,云南省,玉溪市,易门县,530425
中华人民共和国,云南省,玉溪市,江川区,530403
中华人民共和国,云南省,玉溪市,澄江市,530481
中华人民共和国,云南省,玉溪市,红塔区,530402
中华人民共和国,云南省,玉溪市,通海县,530423
中华人民共和国,云南省,红河哈尼族彝族自治州,个旧市,532501
中华人民共和国,云南省,红河哈尼族彝族自治州,元阳县,532528
中华人民共和国,云南省,红河哈尼族彝族自治州,屏边苗族自治县,532523
中华人民共和国,云南省,红河哈尼族彝族自治州,建水县,532524
中华人民共和国,云南省,红河哈尼族彝族自治州,开远市,532502
中华人民共和国,云南省,红河哈尼族彝族自治州,弥勒市,532504
中华人民共和国,云南省,红河哈尼族彝族自治州,河口瑶族自治县,532532
中华人民共和国,云南省,红河哈尼族彝族自治州,泸西县,532527
中华人民共和国,云南省,红河哈尼族彝族自治州,石屏县,532525
中华人民共和国,云南省,红河哈尼族彝族自治州,红河县,532529
中华人民共和国,云南省,红河哈尼族彝族自治州,绿春县,532531
中华人民共和国,云南省,红河哈尼族彝族自治州,蒙自市,532503
中华人民共和国,云南省,红河哈尼族彝族自治州,金平苗族瑶族傣族自治县,532530
中华人民共和国,云南省,西双版纳傣族自治州,勐海县,532822
中华人民共和国,云南省,西双版纳傣族自治州,勐腊县,532823
中华人民共和国,云南省,西双版纳傣族自治州,景洪市,532801
中华人民共和国,云南省,迪庆藏族自治州,德钦县,533422
中华人民共和国,云南省,迪庆藏族自治州,维西傈僳族自治县,533423
中华人民共和国,云南省,迪庆藏族自治州,香格里拉市,533401
中华人民共和国,北京市,北京城区,丰台区,110106
中华人民共和国,北京市,北京城区,延庆区,110119
中华人民共和国,北京市,北京城区,朝阳区,110105
中华人民共和国,北京市,北京城区,海淀区,110108
中华人民共和国,北京市,北京城区,石景山区,110107
